tiempo, ax, ay, az
465.291414,129,126,152
465.293581,129,126,152
465.300435,129,126,152
465.303663,130,126,152
465.310615,129,126,152
465.313514,129,126,152
465.320554,129,126,153
465.323558,129,125,153
465.330565,129,126,152
465.333568,129,126,152
465.340572,129,126,152
465.343571,129,126,152
465.358570,129,126,152
465.360566,129,126,152
465.361566,129,126,152
465.373566,129,126,152
465.375554,129,126,152
465.376441,129,126,152
465.380443,129,126,152
465.386539,129,126,152
465.390525,129,126,151
465.396514,129,126,151
465.400523,129,126,153
465.405521,129,126,152
465.408513,129,126,152
465.415528,129,126,152
465.418525,130,126,152
465.425523,129,126,151
465.428515,130,126,152
465.435526,130,126,152
465.438524,129,126,152
465.445524,129,126,152
465.448515,129,126,152
465.455515,130,126,151
465.458522,129,125,151
465.471522,129,126,151
465.473517,129,126,151
465.474513,129,126,152
465.478523,129,126,152
465.485523,129,126,152
465.488514,130,126,152
465.495523,130,126,151
465.498523,129,125,150
465.505522,129,126,152
465.508513,129,126,152
465.515528,129,126,152
465.518525,129,125,152
465.525521,129,126,152
465.528520,129,126,152
465.535526,129,125,151
465.538524,130,125,151
465.545526,129,125,151
465.548516,129,125,151
465.555525,129,126,152
465.558525,129,126,152
465.565527,129,126,152
465.568517,129,125,152
465.575526,129,125,151
465.583520,129,125,151
465.586522,129,125,152
465.588516,129,125,152
465.595526,129,125,152
465.598526,129,126,152
465.605524,129,126,153
465.608513,129,126,152
465.615526,129,126,152
465.618523,129,125,152
465.625524,129,125,151
465.628516,129,125,152
465.635527,129,126,153
465.638524,129,125,152
465.645525,129,125,152
465.648516,129,125,152
465.655526,129,125,152
465.658525,129,125,152
465.665525,129,126,152
465.668517,129,126,152
465.675525,129,126,152
465.678525,129,126,153
465.685468,129,126,152
465.688515,129,126,152
465.695523,129,126,152
465.698524,129,126,152
465.711521,129,126,152
465.713516,129,126,152
465.714516,129,126,153
465.718523,129,126,152
465.725522,129,126,152
465.728513,129,126,152
465.735523,129,125,152
465.738522,129,126,151
465.745523,129,126,151
465.748514,129,126,151
465.755523,129,126,152
465.758524,129,126,151
465.765523,129,126,152
465.771470,129,126,151
465.776521,129,126,152
465.778523,129,126,152
465.785467,128,126,152
465.788517,129,126,152
465.795524,129,126,152
465.798524,129,126,152
465.805526,130,126,152
465.808515,130,126,151
465.815531,129,126,152
465.821526,129,126,151
465.824516,129,126,152
465.828523,129,126,152
465.835526,129,126,152
465.838525,129,126,152
465.845526,129,126,151
465.848515,129,126,151
465.855529,129,126,151
465.858524,129,126,152
465.865527,129,126,152
465.868515,130,126,152
465.875521,129,126,152
465.878482,129,126,151
465.885409,130,126,151
465.888431,130,126,151
465.895526,130,126,152
465.898520,129,126,152
465.905525,129,125,151
465.908516,129,125,152
465.917533,129,126,152
465.920519,129,125,152
465.925526,129,125,152
465.931528,129,125,152
465.936528,130,126,152
465.943528,130,125,152
465.944519,130,126,152
465.948527,130,126,152
465.955522,130,126,152
465.958524,129,126,152
465.965528,129,126,151
465.968514,129,126,151
465.975520,129,126,152
465.978581,129,125,153
465.985491,129,126,152
465.988565,129,126,153
465.995575,129,126,152
465.998573,129,126,153
466.005574,130,126,152
466.008569,129,126,152
466.015578,129,126,152
466.018482,129,126,153
466.025582,129,126,152
466.033575,129,126,152
466.036564,129,125,152
466.041572,129,126,152
466.044566,129,126,152
466.048573,129,125,152
466.055560,129,125,152
466.058571,129,125,152
466.065475,129,125,152
466.068562,129,125,152
466.075569,129,125,152
466.078576,130,125,152
466.085919,129,126,152
466.088567,129,125,152
466.103576,129,125,152
466.106573,129,125,152
466.108566,129,125,153
466.109567,129,125,152
466.113578,130,125,152
466.120575,129,125,151
466.125575,129,125,151
466.128570,130,125,152
466.135574,129,125,152
466.138577,129,126,152
466.145574,129,126,152
466.148567,129,125,151
466.155577,129,125,151
466.158567,129,125,151
466.165575,129,125,151
466.168566,129,126,151
466.175570,129,125,152
466.178573,129,126,152
466.185575,129,126,152
466.188556,130,126,152
466.195560,130,126,151
466.198563,130,126,151
466.205578,130,126,151
466.208574,130,126,151
466.215582,130,126,152
466.220578,129,126,152
466.223576,129,126,152
466.230577,129,126,152
466.233572,129,126,151
466.240577,129,126,152
466.243566,129,126,151
466.253569,129,126,151
466.254556,129,126,152
466.258567,130,126,152
466.265579,130,126,152
466.268564,130,126,152
466.276569,130,126,152
466.281579,129,126,152
466.287575,129,126,152
466.289568,129,125,152
466.296084,129,126,153
466.300569,129,126,152
466.303579,129,125,152
466.310576,129,125,152
466.313575,129,126,152
466.320576,129,125,152
466.326575,130,125,152
466.329579,130,125,152
466.333573,130,125,152
466.340572,129,125,152
466.343571,129,126,152
466.350577,129,125,152
466.355577,129,125,152
466.358591,129,125,152
466.365581,129,125,151
466.368571,129,126,152
466.375580,129,126,152
466.381584,129,126,152
466.383572,129,126,153
466.390578,130,126,151
466.393573,129,126,151
466.406584,129,126,152
466.408591,129,126,152
466.411577,129,126,153
466.413575,129,126,152
