tiempo, ax, ay, az
59.985981,128,130,151
59.990251,128,129,152
59.996284,129,129,153
60.000308,128,130,148
60.007369,127,130,150
60.011531,127,130,152
60.017250,127,131,152
60.021280,127,130,155
60.027290,127,130,156
60.031281,126,128,154
60.036304,127,130,152
60.040293,128,129,156
60.046288,128,128,155
60.050288,128,128,152
60.056305,129,128,151
60.060289,129,128,155
60.066289,130,129,152
60.070288,130,128,148
60.076289,130,128,153
60.080289,129,128,153
60.086289,128,128,153
60.090293,127,130,156
60.096289,127,128,159
60.100289,126,129,152
60.106288,126,129,155
60.110289,126,130,156
60.116289,127,130,155
60.120292,128,130,152
60.126287,129,129,154
60.130281,130,129,150
60.138285,130,129,149
60.141285,131,129,152
60.146288,131,128,152
60.150287,130,128,151
60.156289,130,128,154
60.160289,130,129,154
60.166288,129,129,151
60.170288,129,129,153
60.176291,128,129,156
60.180287,127,129,152
60.186290,128,129,152
60.190283,128,129,157
60.196288,129,129,154
60.200285,129,128,151
60.206289,130,128,152
60.210288,130,128,155
60.216289,131,128,152
60.220290,131,128,152
60.226290,131,128,152
60.230290,131,128,150
60.236282,130,128,150
60.240327,129,129,152
60.246293,129,129,152
60.250290,128,131,152
60.256290,128,130,156
60.260290,128,130,156
60.266289,128,130,155
60.270290,128,129,155
60.278289,129,128,154
60.281290,130,129,153
60.286289,131,128,151
60.290289,131,128,151
60.296289,132,128,150
60.300284,132,128,150
60.306290,132,127,151
60.310293,131,127,149
60.316288,130,128,151
60.320290,129,127,150
60.326285,128,128,152
60.333276,128,129,155
60.335283,128,129,151
60.341285,129,129,151
60.345290,129,129,151
60.351291,130,129,153
60.355290,130,129,152
60.361290,131,128,149
60.365290,131,128,150
60.371289,131,128,150
60.375290,131,128,151
60.381290,130,129,151
60.385290,130,128,151
60.391286,129,130,152
60.395291,129,129,149
60.401290,128,129,151
60.405291,128,130,152
60.411291,128,130,152
60.415290,128,131,154
60.421290,128,130,154
60.425285,128,129,150
60.431289,129,130,151
60.435286,129,128,154
60.441294,129,128,152
60.445290,129,128,150
60.451290,129,128,154
60.455290,129,128,153
60.461291,129,128,150
60.465291,129,127,151
60.471313,129,127,151
60.475288,128,128,151
60.481291,128,129,151
60.485291,128,129,152
60.491281,129,129,153
60.495290,128,128,151
60.501291,128,128,151
60.505291,128,128,153
60.512291,128,129,155
60.516290,128,129,153
60.522293,128,128,153
60.526288,128,128,152
60.532291,128,127,148
60.535410,129,127,148
60.541258,129,128,151
60.545291,130,128,150
60.551290,130,128,149
60.555290,130,128,151
60.561290,129,128,152
60.565290,129,129,153
60.571297,128,128,153
60.575306,128,128,152
60.581405,128,130,150
60.585397,128,129,152
60.591383,129,129,152
60.595418,129,129,147
60.601413,130,129,146
60.605416,130,130,151
60.611400,130,129,150
60.615410,130,127,150
60.621416,129,128,152
60.625410,129,127,149
60.631410,129,127,152
60.635308,129,128,155
60.641393,128,128,152
60.645416,128,129,151
60.651417,128,129,151
60.655415,128,128,153
60.661414,128,131,153
60.665422,128,129,151
60.671414,129,129,151
60.675416,129,128,152
60.681418,129,128,151
60.685417,129,128,154
60.691418,129,128,154
60.695416,129,127,155
60.701417,129,126,153
60.705416,129,128,155
60.711408,128,128,153
60.715415,128,128,151
60.721415,128,128,156
60.725352,128,128,153
60.731415,128,128,152
60.735413,129,129,153
60.741413,129,129,156
60.745413,129,129,156
60.751418,128,129,154
60.755416,128,128,155
60.761418,127,128,156
60.765416,127,127,154
60.771416,128,127,153
60.775340,129,126,150
60.781415,129,127,148
60.785415,130,128,149
60.791420,130,128,153
60.795408,131,128,152
60.801416,130,128,150
60.805415,129,128,152
60.811408,129,127,157
60.815419,129,129,157
60.821415,129,130,155
60.825423,129,130,151
60.831419,129,127,148
60.835418,130,128,148
60.845416,131,127,154
60.849415,131,128,150
60.850409,130,128,149
60.861416,130,128,150
60.864411,130,127,153
60.865406,129,127,155
60.871415,129,127,155
60.877417,128,127,153
60.881415,129,127,153
60.887416,129,127,153
60.891418,130,128,150
60.896410,131,129,150
60.900412,131,130,152
60.906418,131,129,148
60.911413,131,129,152
60.915417,131,129,155
60.921418,130,128,152
60.927412,130,129,153
60.930416,129,128,156
60.935416,129,127,153
60.941412,128,128,153
