tiempo, ax, ay, az

1495655651.949740,127,127,151
1495655651.955968,128,127,154
1495655651.961666,128,125,153
1495655651.964721,129,124,149
1495655651.969744,130,124,144
1495655651.975846,131,124,141
1495655651.979842,133,126,149
1495655651.985833,133,126,154
1495655651.990847,133,127,154
1495655651.994864,132,126,155
1495655652.000856,130,127,158
1495655652.004854,128,126,161
1495655652.017851,126,125,154
1495655652.020714,126,127,151
1495655652.021750,126,128,157
1495655652.024808,126,127,154
1495655652.030799,126,126,150
1495655652.034807,129,125,148
1495655652.042749,130,124,145
1495655652.045854,132,125,152
1495655652.056852,133,125,153
1495655652.063857,133,125,151
1495655652.064844,133,125,152
1495655652.065845,131,126,149
1495655652.070852,131,128,155
1495655652.076853,130,129,157
1495655652.079847,129,130,156
1495655652.084854,128,129,149
1495655652.090851,127,127,149
1495655652.094850,128,126,148
1495655652.100855,128,123,147
1495655652.104855,129,121,151
1495655652.110855,130,120,150
1495655652.114843,132,119,153
1495655652.122849,133,123,153
1495655652.125844,133,124,152
1495655652.130850,133,127,155
1495655652.136856,131,127,154
1495655652.139842,131,128,162
1495655652.147855,130,126,159
1495655652.150846,130,125,152
1495655652.155854,131,127,151
1495655652.159847,131,127,152
1495655652.167855,130,127,151
1495655652.170845,129,126,147
1495655652.175852,129,126,153
1495655652.181856,129,127,155
1495655652.184853,128,127,155
1495655652.189853,128,127,151
1495655652.195855,128,127,150
1495655652.200853,128,129,153
1495655652.204852,129,129,156
1495655652.210853,130,129,158
1495655652.214845,131,127,150
1495655652.220915,132,127,146
1495655652.224834,133,126,149
1495655652.231835,133,125,153
1495655652.235848,133,123,151
1495655652.241854,132,122,147
1495655652.245852,130,123,144
1495655652.250852,129,124,148
1495655652.254855,129,126,154
1495655652.260852,128,126,152
1495655652.264855,128,127,152
1495655652.270855,129,128,150
1495655652.275851,129,128,152
1495655652.283849,130,127,152
1495655652.284835,132,127,151
1495655652.289848,134,128,152
1495655652.295855,135,128,150
1495655652.299850,135,128,145
1495655652.305849,134,128,142
1495655652.311878,133,129,147
1495655652.316855,131,128,148
1495655652.319849,130,128,150
1495655652.325854,128,127,149
1495655652.331850,128,126,149
1495655652.334849,128,127,146
1495655652.339858,128,128,152
1495655652.345862,129,126,159
1495655652.349855,129,126,155
1495655652.355857,129,125,150
1495655652.359812,130,126,146
1495655652.365856,131,127,150
1495655652.369853,131,128,156
1495655652.375855,130,129,155
1495655652.379853,129,126,146
1495655652.385854,128,127,148
1495655652.389853,127,127,152
1495655652.397850,127,126,153
1495655652.400848,127,127,154
1495655652.405848,128,127,155
1495655652.409855,128,126,149
1495655652.415853,128,126,149
1495655652.419852,129,126,157
1495655652.425853,129,126,154
1495655652.431863,129,127,152
1495655652.434843,129,126,152
1495655652.440852,129,128,149
1495655652.444854,130,128,152
1495655652.450847,129,128,156
1495655652.454855,129,128,151
1495655652.462859,128,127,151
1495655652.465852,128,127,155
1495655652.470851,128,127,154
1495655652.477858,127,125,152
1495655652.480847,128,127,156
1495655652.485855,128,125,155
1495655652.489853,128,127,152
1495655652.495864,128,126,152
1495655652.499858,129,127,157
1495655652.505854,129,127,155
1495655652.509848,130,126,149
1495655652.515852,132,127,154
1495655652.519857,132,125,153
1495655652.525857,132,125,157
1495655652.529852,131,123,156
1495655652.535857,130,124,151
1495655652.541949,130,125,154
1495655652.544836,129,125,153
1495655652.550856,128,125,152
1495655652.554860,128,127,150
1495655652.560850,129,126,151
1495655652.564854,129,127,151
1495655652.570859,130,125,151
