tiempo, vx, vy, vz
0,0,0,0
0.003133,0.00643742,-0.00120528,-0.00243829
0.009905,0.0229572,-0.00120528,0.000107019
0.014157,0.0333296,-0.00120528,0.00170517
0.019888,0.0473099,-0.00341003,-0.00716454
0.023259,0.0555332,-0.00470688,-0.0123817
0.030177,0.0724091,-0.00736827,-0.0151043
0.032984,0.0781767,-0.00844814,-0.0129694
0.04,0.0925926,-0.00844814,-0.0130315
0.042978,0.0975658,-0.00844814,-0.0142035
0.049997,0.106587,-0.00844814,-0.0169659
0.052985,0.110428,-0.00844814,-0.0181418
0.059991,0.119433,-0.00844814,-0.0128133
0.062983,0.123278,-0.00959918,-0.0105377
0.069992,0.134983,-0.00959918,-0.0159925
0.072992,0.141148,-0.00959918,-0.0194814
0.079987,0.158211,-0.0122902,-0.0168523
0.082986,0.165527,-0.0122902,-0.0145714
0.090274,0.183306,-0.0150939,-0.0202433
0.092998,0.189951,-0.0161419,-0.0255071
0.099992,0.207012,-0.0188325,-0.0336409
0.102983,0.213158,-0.0211338,-0.0313661
0.109992,0.227559,-0.0238302,-0.0206425
0.112991,0.231414,-0.024984,-0.0229765
0.119992,0.240412,-0.024984,-0.0311184
0.122982,0.244255,-0.0261342,-0.0311449
0.129992,0.253265,-0.0315278,-0.0339037
0.132981,0.257107,-0.0338276,-0.0362299
0.139992,0.268815,-0.0365247,-0.0255032
0.142983,0.274961,-0.0388261,-0.0232284
0.149986,0.28935,-0.0442142,-0.0367608
0.153993,0.299125,-0.0488388,-0.0414208
0.157992,0.30888,-0.0534541,-0.0399178
0.164992,0.323263,-0.05884,-0.0399797
0.167985,0.329413,-0.0611428,-0.0411576
0.174993,0.343812,-0.0692309,-0.0412196
0.177991,0.349972,-0.0726909,-0.0412462
0.184996,0.361671,-0.0780807,-0.0413081
0.187987,0.366666,-0.080382,-0.0424853
0.194991,0.378362,-0.0884654,-0.0317693
0.197977,0.383349,-0.0919116,-0.030647
0.204928,0.394957,-0.102608,-0.0387308
0.207993,0.401255,-0.106145,-0.0411161
0.214988,0.418319,-0.111527,-0.033105
0.217991,0.425644,-0.112683,-0.0331316
0.224993,0.442725,-0.11807,-0.0439684
0.227985,0.450024,-0.120372,-0.0439948
0.234993,0.464423,-0.123068,-0.0440568
0.237993,0.469433,-0.125376,-0.0463916
0.244992,0.481122,-0.130762,-0.043761
0.247992,0.486132,-0.13307,-0.0403252
0.254994,0.497825,-0.138457,-0.0457746
0.257996,0.503993,-0.140767,-0.0492658
0.264989,0.518362,-0.146147,-0.0547082
0.267992,0.524532,-0.147303,-0.05589
0.274993,0.538917,-0.149996,-0.0532586
0.277992,0.545079,-0.152304,-0.0544389
0.284996,0.559471,-0.157692,-0.0625843
0.287986,0.565614,-0.159993,-0.0660616
0.294993,0.580012,-0.16808,-0.0688192
0.297983,0.586155,-0.171531,-0.0711462
0.304992,0.600557,-0.176924,-0.0658154
0.307986,0.606709,-0.179227,-0.0635383
0.314988,0.621096,-0.184615,-0.0716814
0.317992,0.626112,-0.188082,-0.0763306
0.324993,0.637804,-0.196162,-0.0710059
0.327987,0.642804,-0.199617,-0.0652733
0.335993,0.656174,-0.208857,-0.0653442
0.338982,0.661166,-0.211157,-0.0676704
0.345993,0.675571,-0.219248,-0.0704296
0.348992,0.68058,-0.222709,-0.0750711
0.355993,0.694965,-0.228096,-0.075133
0.357984,0.699822,-0.228862,-0.0705549
0.364988,0.714213,-0.231556,-0.0679224
0.367991,0.720383,-0.232712,-0.0748806
0.376993,0.735417,-0.239638,-0.095739
0.378982,0.739504,-0.241168,-0.0957566
0.382991,0.747741,-0.242711,-0.0957921
0.389992,0.762126,-0.245404,-0.103934
0.392992,0.76829,-0.245404,-0.105115
0.399928,0.782542,-0.248072,-0.110513
0.402984,0.787645,-0.249248,-0.116418
0.409993,0.79935,-0.251944,-0.119176
0.412993,0.805514,-0.251944,-0.115741
0.419992,0.819895,-0.251944,-0.118495
0.422984,0.826043,-0.251944,-0.123126
0.427991,0.836331,-0.251944,-0.130875
0.434993,0.850718,-0.251944,-0.136324
0.437994,0.856884,-0.251944,-0.136351
0.444993,0.871265,-0.254637,-0.14449
0.447927,0.877294,-0.255766,-0.147903
0.456995,0.892437,-0.262743,-0.158448
0.458983,0.895757,-0.265037,-0.159231
0.462991,0.903993,-0.269663,-0.154641
0.469993,0.915686,-0.27505,-0.149315
0.472993,0.920696,-0.277358,-0.150496
0.479991,0.932383,-0.28005,-0.150558
0.482994,0.936243,-0.283516,-0.151739
0.489986,0.945229,-0.291586,-0.154491
0.492993,0.949094,-0.295056,-0.154518
0.499929,0.960677,-0.30573,-0.141238
0.502984,0.965779,-0.309255,-0.137739
0.509993,0.980181,-0.320041,-0.140497
0.512992,0.987497,-0.324656,-0.138216
0.519993,1.00458,-0.332736,-0.135585
0.522984,1.01187,-0.336188,-0.137913
0.529995,1.02897,-0.344279,-0.140672
0.532994,1.03514,-0.346587,-0.141852
0.539999,1.04414,-0.346587,-0.152694
0.542984,1.04683,-0.346587,-0.156165
0.54999,1.05314,-0.349282,-0.150837
0.552994,1.05584,-0.351593,-0.148552
0.559995,1.05945,-0.35698,-0.151307
0.562985,1.06215,-0.360431,-0.149033
0.569995,1.07385,-0.365825,-0.135611
0.572994,1.08002,-0.368132,-0.135638
0.579995,1.0944,-0.378905,-0.14378
0.58299,1.10171,-0.383514,-0.14611
0.590103,1.11632,-0.391723,-0.154383
0.592919,1.12211,-0.394973,-0.154408
0.599913,1.13648,-0.403045,-0.149088
0.602917,1.1415,-0.407668,-0.153737
0.609924,1.1532,-0.421146,-0.167278
0.612922,1.15705,-0.428066,-0.169611
0.619922,1.16605,-0.441531,-0.169673
0.622914,1.16989,-0.447286,-0.167397
0.629923,1.1789,-0.460768,-0.167459
0.632914,1.1839,-0.466521,-0.173239
0.639923,1.1983,-0.480003,-0.175997
0.642916,1.20445,-0.48576,-0.174872
0.649918,1.21884,-0.499229,-0.19379
0.652922,1.22616,-0.503852,-0.197284
0.659925,1.24325,-0.517322,-0.197346
0.662914,1.24939,-0.523072,-0.204272
0.669922,1.26379,-0.53116,-0.209726
0.672924,1.26996,-0.536934,-0.207442
0.679922,1.28164,-0.545011,-0.212889
0.682915,1.28664,-0.548465,-0.217521
0.689923,1.29834,-0.556553,-0.209495
0.692921,1.3022,-0.561166,-0.211828
0.699932,1.31121,-0.571955,-0.233467
0.702949,1.31509,-0.575437,-0.231173
0.709953,1.32409,-0.58352,-0.220457
0.712955,1.32679,-0.58583,-0.226258
0.719953,1.33579,-0.591214,-0.218243
0.722944,1.34078,-0.594666,-0.211366
0.729935,1.34977,-0.600045,-0.224875
0.732935,1.35478,-0.6012,-0.22721
0.738026,1.36328,-0.605117,-0.219421
0.745037,1.37229,-0.610511,-0.22218
0.748046,1.37616,-0.611669,-0.223364
0.755047,1.38516,-0.614362,-0.204573
0.758044,1.38901,-0.616668,-0.204599
0.765046,1.39801,-0.619361,-0.207355
0.76804,1.40186,-0.621665,-0.201622
0.775045,1.41086,-0.627055,-0.196295
0.77804,1.41471,-0.628207,-0.198626
0.785048,1.42372,-0.633599,-0.198688
0.788039,1.42756,-0.6359,-0.197563
0.795044,1.43657,-0.64129,-0.20032
0.798046,1.44042,-0.6436,-0.202657
0.805038,1.4521,-0.64898,-0.197339
0.809046,1.45879,-0.652063,-0.19429
0.816043,1.47048,-0.654755,-0.194352
0.819036,1.47548,-0.655907,-0.193227
0.826046,1.48718,-0.6613,-0.193289
