tiempo, ax, ay, az
0,129,125,152
0.01,128,125.853,151
0.02,128,126,152
0.03,129,126,152
0.04,129,126,152
0.05,129,126,152
0.06,128.017,126,152.983
0.07,129,126,152
0.08,128.01,126,152
0.09,128.66,126,152
0.1,128.006,126,152
0.11,128.01,126,152
0.12,129,126,152
0.13,129,126,152.99
0.14,128,126,152.011
0.15,128.437,126,152
0.16,129,126,152
0.17,129,125.826,151.826
0.18,129,126,152
0.19,128.99,125.99,152
0.2,129,126,152
0.21,128,126,151.99
0.22,128.01,126,152.01
0.23,128,126,152
0.24,129,126,152
0.25,129,126,152
0.26,128.01,125,152
0.27,129,126,152
0.28,129,126,152
0.29,129,126,152
0.3,128,126,152
0.31,129,126,152
0.32,128.009,126,151.009
0.33,129,126,152.99
0.34,129,126,152.991
0.35,128.99,126,152
0.36,128.01,126,151.01
0.37,129,126,152
0.38,129,126,152.53
0.39,129,126,152
0.4,128,126,152
0.41,129,126,152.471
0.42,129,126,152.99
0.43,129,126,151.437
0.44,129,126,151.821
0.45,128.826,126,152
0.46,129,126,152
0.47,129,126,152
0.48,129,126,152
0.49,128.34,126,152
0.5,128.785,126,152
0.51,129,126,152
0.52,128,126,152
0.53,128,126,152
0.54,128.821,126,152
0.55,129,126,151.174
0.56,129,126,152
0.57,128,126,152
0.58,129,126,152
0.59,129,126,151.823
0.6,129,126,152.822
0.61,129,126,152
0.62,129,126,152
0.63,129,126,152
0.64,129,126,152
0.65,129,126,152
0.66,129,126,152
0.67,128.825,125.825,151.825
0.68,128.818,126,152
0.69,129,126,152
0.7,129,126,152
0.71,129,126,152
0.72,128.818,126,152
0.73,129,126,152
0.74,128.818,126,152
0.75,128.829,126,152
0.76,129,126,152
0.77,129,126,152
0.78,129,126,152
0.79,128,125.295,151.295
0.8,129,126,153
0.81,128.34,125.34,152
0.82,129,126,152
0.83,129,126,152
0.84,129,126,152.818
0.85,128.825,126,152
0.86,128,126,152
0.87,128,126,152
0.88,128,126,152.182
0.89,128.174,126,152
0.9,128,125.182,151.182
0.91,128.175,126,152
0.92,128.182,125.182,152
0.93,128.825,126,152
0.94,128.182,126,152
0.95,128,126,152
0.96,128,126,152
0.97,129,125.367,151.367
0.98,129,125.016,151.984
0.99,129,125.989,152
1,128.01,126,152
1.01,128.99,125.99,152
1.02,129,126,152
1.03,129,126,152
1.04,129,126,152
1.05,128,126,152
1.06,128,125.183,151.817
1.07,129,126,152
1.08,129,126,152.447
1.09,129,126,152
1.1,128.989,126,152
1.11,128.989,126,152
1.12,128.009,125.009,152
1.13,129,126,152
1.14,129,125.009,152
1.15,128.007,126,152
1.16,128.011,126,151.011
1.17,128,126,152
1.18,128.01,126,152
1.19,129,126,152
1.2,129,126,152
1.21,129,126,152
1.22,129,126,152
1.23,129,126,152
1.24,129,126,152
1.25,128.741,126,152
1.26,128.273,126,152
1.27,129,126,152.989
1.28,129,126,152
1.29,128.66,126,152
1.3,128,125.992,152
1.31,129,126,152.01
1.32,128,126,152
1.33,128.989,126,152.989
1.34,128.993,126,151.993
1.35,128.992,126,151.992
1.36,129,126,152
1.37,128.989,126,152
1.38,128.008,126,152.008
1.39,129,126,152
1.4,128.011,125.989,152
1.41,128.01,126,152
1.42,129,126,152
1.43,128.989,125.989,151.989
