tiempo, ax, ay, az
0.000000,134,126,151 n
0.01,134.692,125.692,150.308 n
0.02,134.727,125.273,152 n
0.03,134,125,152.3 n
0.04,134,126,152 n
0.05,133.702,125,152 n
0.06,133.297,125,152 n
0.07,134,125.298,151.702 n
0.08,134,126,152.928 n
0.09,134.703,126,149.703 n
0.1,134,125.297,151 n
0.11,134,125,151.703 n
0.12,133,126,152.299 n
0.13,133.299,126,153.701 n
0.14,134.297,126,151.406 n
0.15,135,126,150.595 n
0.16,134,126,150.703 n
0.17,133,126.297,152 n
0.18,133,126.703,151.703 n
0.19,133,126,151 n
0.2,134,126.703,152.703 n
0.21,134,126,150.297 n
0.22,134,126.702,151.702 n
0.23,134,126,152.298 n
0.24,133.298,125,151.702 n
0.25,134,126,151.298 n
0.26,134,126,152.297 n
0.27,134,126,151.703 n
0.28,134,127,149.595 n
0.29,134,126.702,153.298 n
0.3,134,125.702,149.702 n
0.31,135,125.297,151.594 n
0.32,134.696,126,151.089 n
0.33,134.685,126.685,151 n
0.34,134,126,153.916 n
0.35,134.306,126,152.472 n
0.36,135,125,149.916 n
0.37,135,125,150.953 n
0.38,135,124,150.417 n
0.39,135,125,152 n
0.4,135,125.306,153 n
0.41,135,125,149 n
0.42,135,125.792,154.376 n
0.43,134.205,125,148.025 n
0.44,135,124.792,154.168 n
0.45,136,125,150.622 n
0.46,135.792,125,149.792 n
0.47,135,124.792,155.584 n
0.48,134,124,148.618 n
0.49,135.207,124,154.756 n
0.5,137,124,149.829 n
0.51,135.793,123.207,150.793 n
0.52,135,123.208,155.416 n
0.53,135,123.796,152 n
0.54,135,124,152.956 n
0.55,135.207,124,150.622 n
0.56,136.208,123.208,153.792 n
0.57,138,123.208,150.792 n
0.58,136.575,125,150.213 n
0.59,134.133,125,152.734 n
0.6,134.462,124.231,150.925 n
0.61,137.206,125,152.176 n
0.62,138.792,124.792,149.208 n
0.63,135.807,125,148.579 n
0.64,134.791,126,154.166 n
0.65,134.208,125.792,152.623 n
0.66,136,124.208,150.377 n
0.67,137,124.792,150 n
0.68,137,125,150.415 n
0.69,135.792,124.208,150.792 n
0.7,136,124.793,155 n
0.71,136,123,147.835 n
0.72,135.029,123.971,150.885 n
0.73,135.986,124,152.986 n
0.74,136,124.208,152.792 n
0.75,136.207,126,154 n
0.76,135.793,125,150 n
0.77,135,125,151.207 n
0.78,135.207,124.793,153.793 n
0.79,137,125,153.415 n
0.8,135.793,125,151.586 n
0.81,134,125.208,152.624 n
0.82,134,125.205,152.589 n
0.83,135.165,124.835,156 n
0.84,136,123.696,153 n
0.85,135.692,122.308,149.692 n
0.86,135,123,153.695 n
0.87,135,123.304,150 n
0.88,136,123,154.304 n
0.89,135,122.304,152.392 n
0.9,133.696,123.304,150 n
0.91,133.304,124.696,155.696 n
0.92,135.305,124.305,147.914 n
0.93,137.305,123.695,153.695 n
0.94,137.375,122,150.438 n
0.95,133.696,123.304,146.521 n
