time,gFx,gFy,gFz
0.011,0.2158,-0.0196,0.9654
0.013,0.1295,0,0.9928
0.014,0.1687,-0.0078,0.9928
0.031,0.1452,0.0039,0.9811
0.062,0.1373,-0.0157,1.0046
0.064,0.208,-0.0157,0.9732
0.095,0.106,-0.0118,1.0007
0.107,0.1805,-0.0078,0.9811
0.122,0.1256,-0.0039,0.9928
0.135,0.1962,-0.0039,0.9968
0.152,0.1844,-0.0118,0.9771
0.182,0.0942,-0.0078,1.0125
0.194,0.1923,-0.0039,0.9771
0.207,0.1295,-0.0078,1.0007
0.223,0.2041,-0.0078,0.985
0.253,0.1177,-0.0078,0.9928
0.282,0.1609,-0.0118,0.9928
0.284,0.1609,-0.0078,0.9732
0.297,0.1648,-0.0157,0.9889
0.311,0.1452,-0.0118,0.9928
0.352,0.1413,0.0078,0.9889
0.354,0.1727,-0.0078,0.9889
0.363,0.1805,0.0039,0.9732
0.381,0.1413,-0.0275,1.0046
0.401,0.157,0.0039,0.985
0.411,0.1452,0,0.9771
0.431,0.1766,-0.0039,0.9928
0.464,0.1766,-0.0039,0.9889
0.472,0.1295,-0.0039,1.0085
0.481,0.1727,-0.0039,0.9732
0.501,0.153,-0.0118,0.9968
0.521,0.1844,-0.0078,0.985
0.553,0.1648,-0.0078,0.985
0.555,0.1256,0,1.0007
0.572,0.1805,-0.0039,0.9693
0.591,0.153,-0.0157,1.0007
0.611,0.1766,0.0039,0.985
0.622,0.1217,0.0078,0.9968
0.641,0.153,-0.0078,0.9732
0.675,0.2198,0.0078,0.9811
0.684,0.1452,-0.0118,0.985
0.691,0.1727,-0.0039,0.9771
0.712,0.1177,-0.0039,0.9928
0.733,0.2198,0,0.9732
0.753,0.1648,-0.0039,0.985
0.786,0.1295,-0.0196,1.0007
0.788,0.1844,-0.0078,0.9771
0.802,0.1217,0.0039,0.9928
0.821,0.2237,-0.0118,0.9771
0.831,0.102,-0.0118,0.9968
0.863,0.1687,-0.0078,0.985
0.871,0.1609,-0.0039,0.9771
0.891,0.1609,-0.0039,0.9928
0.901,0.2001,-0.0078,0.9771
0.921,0.0942,0,1.0046
0.951,0.2158,-0.0078,0.9654
0.961,0.1256,0.0078,0.9928
0.974,0.1884,-0.0157,0.9889
0.991,0.1373,0.0039,0.9732
1.011,0.1413,-0.0078,1.0007
1.066,0.1805,-0.0157,0.9732
1.069,0.1413,-0.0196,1.0085
1.071,0.1727,-0.0118,0.985
1.081,0.1177,-0.0039,1.0046
1.092,0.157,-0.0039,0.9928
1.111,0.1962,-0.0118,0.9811
1.131,0.1256,0,1.0164
1.165,0.1609,0.0039,0.985
1.169,0.1334,-0.0039,0.9968
1.181,0.1884,-0.0039,0.9968
1.204,0.1687,0.0039,0.9811
1.222,0.1334,0,1.0046
1.234,0.157,0,0.9811
1.251,0.1687,0,0.9889
1.285,0.1766,-0.0078,0.985
1.293,0.1413,-0.0078,0.9928
1.3,0.1373,0,0.9928
1.321,0.1727,0.0039,0.9693
1.341,0.1687,-0.0157,1.0007
1.379,0.1452,0,0.9889
1.381,0.1373,0.0039,0.9928
1.391,0.1491,-0.0039,0.9811
1.411,0.1884,-0.0078,0.9889
1.431,0.1413,-0.0078,1.0046
1.441,0.1687,-0.0039,0.9771
1.47,0.1413,0,0.9811
1.481,0.1766,-0.0118,0.985
1.501,0.1844,-0.0118,0.985
1.511,0.1217,-0.0039,1.0046
1.531,0.1884,0,0.9771
1.56,0.1295,0.0078,1.0046
1.571,0.208,-0.0078,0.985
1.584,0.1413,-0.0039,0.9928
1.601,0.1334,-0.0118,0.9811
1.621,0.2001,0,0.9771
1.671,0.153,-0.0118,0.9968
1.673,0.2001,-0.0118,0.9693
1.675,0.102,-0.0078,1.0007
1.691,0.1805,-0.0078,0.9732
1.711,0.1687,0,0.9928
1.807,0.1648,-0.0118,0.9889
1.809,0.1687,-0.0039,0.9693
1.811,0.1099,-0.0039,1.0085
1.813,0.2198,-0.0039,0.9654
1.815,0.1452,-0.0039,0.9889
1.817,0.1609,-0.0235,0.985
1.831,0.153,-0.0039,0.9889
1.869,0.1413,-0.0039,0.985
1.871,0.2198,0,0.9654
1.882,0.0981,-0.0078,1.0164
1.902,0.1884,-0.0157,0.9889
1.932,0.1217,0,0.9968
1.934,0.1962,-0.0078,0.9928
1.976,0.153,-0.0157,0.9889
1.978,0.1217,-0.0157,1.0085
1.992,0.1766,-0.0118,0.9771
2.008,0.1491,0,1.0007
2.023,0.1923,-0.0157,0.9889
2.054,0.1217,-0.0039,0.9928
2.087,0.153,-0.0118,0.9811
2.09,0.1766,-0.0039,0.9732
2.092,0.1648,-0.0157,1.0046
2.111,0.1687,0.0078,0.9771
2.131,0.1177,0,0.9889
2.141,0.1805,-0.0118,0.9968
2.169,0.1687,0,0.9811
2.181,0.153,0,0.985
2.211,0.1452,-0.0078,0.9889
2.231,0.1687,-0.0039,0.9811
2.268,0.1727,-0.0039,0.9732
2.271,0.1295,-0.0078,1.0046
2.281,0.1687,0,0.9732
2.302,0.1648,0.0118,0.9889
