tiempo, axy, ayz, azx
0,183.935,195.898,201.137
0.01,185.333,198.741,203.96
0.02,184.665,194.447,200.396
0.03,183.954,198.918,204.096
0.04,183.897,197.307,201.221
0.05,183.175,197.309,200.564
0.06,182.487,198.97,202.823
0.07,184.621,195.787,200.402
0.08,185.346,199.596,204.782
0.09,184.665,193.696,199.668
0.1,183.253,198.351,204.141
0.11,182.485,195.898,199.808
0.12,182.481,197.429,201.313
0.13,181.798,195.27,199.824
0.14,183.251,198.331,204.123
0.15,183.306,193.859,201.073
0.16,183.251,196.575,202.417
0.17,182.571,196.163,202.633
0.18,182.521,196.575,201.757
0.19,181.838,198.605,204.345
0.2,181.569,193.619,200.136
0.21,184.179,198.634,204.9
0.22,183.984,194.602,201.172
0.23,183.528,196.807,202.011
0.24,182.521,198.015,203.16
0.25,182.73,195.036,200.448
0.26,183.447,195.66,201.351
0.27,183.738,197.579,202.952
0.28,183.251,194.489,200.392
0.29,182.571,195.168,201.669
0.3,183.251,198.346,204.137
0.31,182.844,194.083,199.985
0.32,181.838,198.388,204.134
0.33,182.009,195.933,201.594
0.34,182.464,195.053,201.461
0.35,183.455,197.556,203.377
0.36,183.935,196.653,201.872
0.37,182.684,193.22,198.638
0.38,183.935,196.847,202.062
0.39,184.619,197.303,201.881
0.4,183.208,193.682,198.307
0.41,184.621,200.378,204.886
0.42,184.621,195.021,199.65
0.43,184.621,196.981,201.565
0.44,183.935,195.133,200.392
0.45,182.364,194.693,200.066
0.46,182.557,198.458,204.534
0.47,182.523,196.028,201.223
0.48,181.108,195.389,200.562
0.49,181.108,196.178,201.336
0.5,181.839,198.41,204.184
0.51,182.632,197.091,204.794
0.52,183.306,194.619,201.806
0.53,183.251,196.024,201.878
0.54,182.455,195.782,198.4
0.55,181.067,198.338,202.171
0.56,180.384,197.722,202.186
0.57,183.249,196.791,202.629
0.58,182.631,193.982,201.802
0.59,182.571,196.13,202.6
0.6,181.138,192.399,198.958
0.61,179.084,192.775,199.848
0.62,179.744,196.428,202.79
0.63,180.499,191.111,198.331
0.64,181.218,195.525,203.229
0.65,182.613,193.256,201.123
0.66,181.252,190.372,198.245
0.67,181.234,196.42,204.042
0.68,181.838,193.22,199.115
0.69,180.424,193.863,199.694
0.7,181.108,197.752,202.864
0.71,181.081,193.056,197.005
0.72,181.837,200.722,206.383
0.73,183.192,195.983,200.569
0.74,181.988,196.205,200.562
0.75,182.29,201.17,205.152
0.76,182.29,197.777,201.827
0.77,181.986,197.655,201.982
0.78,181.794,197.013,201.527
0.79,181.794,195.81,200.351
0.8,182.521,198.346,203.482
0.81,183.208,197.538,202.075
0.82,182.421,196.797,201.882
0.83,182.598,197.679,201.661
0.84,182.713,196.883,201.883
0.85,183.552,196.737,202.303
0.86,182.571,192.867,199.443
0.87,182.556,195.908,202.028
0.88,181.602,197.052,201.738
0.89,181.444,196.314,201.472
0.9,183.247,196.797,202.629
0.91,183.979,195.262,201.814
0.92,183.984,196.015,202.539
0.93,182.526,195.256,200.477
0.94,182.521,197.57,202.726
0.95,182.57,195.389,201.875
0.96,182.521,194.495,199.739
0.97,181.892,195.526,202.619
0.98,182.571,194.628,201.146
0.99,182.576,195.406,201.905
1,182.615,194.134,201.645
1.01,182.571,195.759,202.241
1.02,181.843,196.169,201.983
1.03,182.571,194.034,200.572
1.04,182.571,195.384,201.878
1.05,183.247,194.485,200.392
1.06,182.575,196.162,202.627
1.07,182.575,195.394,201.884
1.08,183.252,194.501,200.412
1.09,183.131,197.164,204.104
1.1,182.571,194.623,201.142
1.11,182.571,195.558,202.047
1.12,181.218,194.589,202.329
1.13,179.341,195.674,204.087
1.14,180.457,196.494,205.199
1.15,183.488,194.484,205.065
1.16,186.038,193.355,203.514
1.17,184.857,195.974,203.635
1.18,180.369,194.404,200.853
1.19,179.226,197.392,203.268
1.2,180.242,194.051,202.14
1.21,183.945,192.833,203.107
1.22,185.699,194.385,206.159
1.23,184.005,190.606,201.854
1.24,181.949,194.548,202.773
1.25,180.955,195.331,201.771
1.26,180.48,193.97,201.07
1.27,181.464,196.469,204.356
1.28,182.724,193.06,202.562
1.29,185.732,192.622,204.924
1.3,183.634,188.988,201.589
1.31,180.501,192.108,199.7
1.32,180.152,199.335,203.965
1.33,181.525,197.049,202.553
1.34,184.739,194.275,201.96
1.35,185.278,194.617,203.597
1.36,184.761,195.344,203.417
