(129.679760,0.000000),(0.009987,0.000000)
(0.163603,-0.571477),(0.003949,0.001591)
(0.102131,-1.271401),(-0.004473,-0.001648)
(0.079893,-0.383116),(0.002677,0.013044)
(-0.029276,-0.359076),(-0.014862,0.001201)
(0.128324,-0.201325),(0.001360,-0.007973)
(-0.050005,-0.092575),(-0.008451,0.000497)
(-0.086431,-0.078408),(0.000020,-0.005325)
(0.052217,0.003027),(-0.002015,-0.008493)
(0.052817,-0.003247),(0.007248,-0.012783)
(0.145307,-0.101146),(0.007011,0.000753)
(0.077623,-0.090440),(0.002585,0.013220)
(0.050968,-0.207513),(-0.001378,-0.005209)
(-0.011236,-0.064725),(0.011909,0.005788)
(0.037994,-0.175556),(0.006564,-0.014390)
(-0.004711,-0.031245),(0.009035,0.002537)
(-0.009894,-0.091799),(-0.002302,0.000430)
(0.101636,-0.080037),(-0.000586,0.000495)
(0.004395,-0.104803),(0.003897,0.001301)
(0.054209,-0.094058),(-0.003725,0.006338)
(0.008191,0.005298),(-0.006857,-0.001664)
(0.019257,0.006315),(0.008768,-0.008982)
(0.018745,0.018353),(0.008115,-0.001130)
(0.054935,0.030580),(-0.000793,0.003172)
(0.061920,0.032554),(0.006927,-0.004581)
(-0.071644,-0.062641),(-0.003282,0.014063)
(0.019221,0.027654),(0.001220,-0.004940)
(-0.005768,-0.039833),(-0.001717,0.003782)
(0.052367,0.006809),(-0.006418,-0.001137)
(-0.004865,-0.089610),(0.003562,0.006175)
(-0.019989,-0.013829),(-0.015166,0.001515)
(-0.015955,0.054800),(-0.005400,-0.008885)
(0.059521,-0.035375),(0.001313,0.005681)
(-0.010807,0.013638),(-0.005637,0.001084)
(0.013430,0.023016),(0.008760,-0.000777)
(0.013774,-0.030223),(0.007265,0.001218)
(-0.028526,0.020662),(-0.004543,-0.015122)
(-0.035218,-0.053639),(0.004643,-0.001490)
(-0.045705,-0.024246),(0.006454,0.004474)
(0.000025,-0.041526),(0.008910,0.005122)
(0.065183,-0.058334),(0.000647,0.003456)
(-0.002745,0.000787),(-0.004939,0.004669)
(-0.002832,0.011586),(0.010505,-0.004809)
