(129.745672,0.000000),(0.003995,0.000000)
(-1.032628,-0.009179),(-0.000295,-0.000319)
(0.343835,2.043421),(-0.011031,-0.014151)
(-0.112338,0.481524),(0.007085,-0.007291)
(-0.151749,0.427225),(-0.009555,-0.017874)
(0.082255,0.126345),(0.017035,0.022270)
(-0.005642,0.142546),(0.002694,-0.009326)
(0.128025,0.193656),(0.007325,0.010525)
(-0.064945,-0.071352),(0.006902,-0.001534)
(-0.189732,0.211963),(0.007653,-0.011933)
(-0.002142,0.039741),(-0.015118,-0.006790)
(-0.125753,0.063755),(0.010152,-0.007342)
(0.042169,0.125211),(0.006001,-0.012202)
(0.008588,-0.112042),(-0.005264,0.011633)
(-0.065519,0.163792),(-0.001331,-0.007759)
(0.030120,0.023022),(0.002373,0.013798)
(-0.053932,0.073724),(0.001573,0.002334)
(0.004873,0.072968),(0.016522,-0.003938)
(-0.105753,0.005940),(0.001793,0.001327)
(0.072105,0.031287),(-0.005101,-0.000379)
(-0.034095,-0.099491),(0.003264,-0.007551)
(0.006025,-0.065875),(0.000427,0.003552)
(-0.017391,0.028873),(-0.010621,0.006938)
(0.062675,-0.064120),(-0.007873,-0.004198)
(-0.005686,0.004014),(0.004962,0.004790)
(-0.049435,-0.026206),(-0.007177,0.008893)
(-0.042381,0.065449),(0.017142,-0.009695)
(-0.099151,0.055930),(-0.007402,0.008310)
(0.031385,0.128274),(0.008888,0.005150)
(0.023739,0.069192),(0.003417,0.004663)
(0.057222,0.042962),(0.006109,-0.005596)
(0.055183,0.010450),(0.010583,0.006326)
(0.030870,0.003017),(-0.009037,-0.010028)
(0.024961,0.025700),(-0.000387,0.005769)
(0.038189,-0.018227),(0.011824,0.014908)
(0.007492,-0.003767),(-0.018874,-0.001681)
(0.018992,0.067973),(0.010192,0.008632)
(0.003841,0.015392),(-0.004281,0.002473)
(0.021308,0.060359),(0.004958,0.002838)
(0.070902,-0.034076),(-0.009579,-0.005225)
(-0.017100,-0.042034),(-0.005640,-0.005349)
