(127.369507,0.000000),(0.009987,0.000000)
(-0.941961,-1.714361),(0.002196,-0.002581)
(1.184407,-0.072048),(-0.002684,-0.012437)
(0.003747,-0.814154),(0.004850,0.015300)
(-0.005316,-0.222567),(-0.008962,-0.009858)
(-0.051389,-0.431282),(-0.011756,0.017528)
(0.076252,-0.391192),(-0.012920,0.004289)
(-0.049175,-0.275327),(-0.006271,0.005493)
(0.061988,-0.232052),(0.000304,0.002301)
(-0.029816,-0.253255),(0.009548,0.004172)
(0.061360,-0.115638),(0.003259,0.014280)
(0.044890,-0.168477),(0.013218,-0.002083)
(0.052691,-0.055468),(-0.002012,0.001880)
(0.021473,-0.162269),(-0.001633,0.015326)
(0.019042,-0.155208),(-0.001907,0.006676)
(-0.024704,-0.116308),(0.012517,0.005252)
(0.009722,-0.105496),(0.016102,0.001425)
(-0.064950,-0.069740),(0.021375,0.005338)
(0.093004,-0.154759),(-0.006781,0.009899)
(-0.027169,-0.120709),(-0.006049,0.009386)
(0.091832,-0.129794),(-0.005386,0.006612)
(-0.087571,-0.120133),(0.002783,-0.012845)
(-0.010594,-0.142031),(0.002086,-0.017302)
(-0.052537,-0.097641),(0.009781,0.006287)
(-0.051482,-0.059519),(0.003615,0.014968)
(-0.006038,-0.073730),(0.011048,-0.003757)
(-0.024371,-0.010247),(0.032277,0.006348)
(0.005447,-0.050932),(0.007389,0.002135)
(0.032107,-0.045753),(0.011955,-0.002349)
(0.018895,-0.056079),(0.009676,-0.002578)
(0.001421,-0.069515),(0.007518,-0.004711)
(0.000010,-0.060182),(-0.002432,-0.013724)
(0.008710,-0.062459),(0.018333,0.000014)
(-0.002079,-0.062887),(0.004103,0.026174)
(-0.001098,-0.061841),(0.009238,0.002434)
(-0.009164,-0.028964),(0.018616,-0.011432)
(0.026774,-0.054607),(0.004873,0.001223)
(-0.003585,-0.067595),(0.000958,-0.008552)
(0.014322,-0.039485),(0.008776,0.002206)
(-0.001904,-0.068201),(0.000476,-0.007414)
(0.013548,-0.050216),(0.003791,0.007107)
(0.013134,-0.002963),(0.008164,-0.006580)
(0.001654,-0.036835),(0.022291,0.010622)
(0.006552,-0.039423),(0.004727,0.015505)
(0.009376,-0.019649),(-0.009120,-0.009934)
(-0.008235,-0.062781),(0.013065,0.027016)
(-0.001986,-0.036443),(0.006997,0.008337)
(0.018196,-0.018074),(-0.009920,-0.012055)
(-0.020011,-0.029674),(0.022960,0.015482)
(0.055837,-0.038635),(-0.000239,0.009137)
(0.001271,-0.057992),(-0.006375,-0.001128)
(0.056912,-0.032425),(-0.002545,-0.012857)
(-0.031086,-0.063017),(0.000310,0.003492)
(-0.005216,-0.036871),(-0.003092,-0.005986)
(-0.012287,-0.022860),(-0.004040,0.006192)
(-0.033714,-0.046095),(-0.004160,-0.006294)
(0.039276,0.012338),(0.005901,0.010197)
(-0.028482,-0.008316),(-0.006584,0.001445)
(0.003466,0.001987),(0.017176,0.000932)
(0.003641,-0.052760),(-0.004921,-0.004619)
(0.033159,-0.009925),(0.017131,0.005462)
(0.026128,-0.044840),(-0.008204,-0.005407)
(0.040619,-0.018791),(0.013512,0.021118)
(0.026852,-0.052121),(-0.000264,0.005319)
(0.010211,0.003783),(0.002404,-0.007477)
(-0.033739,-0.036920),(0.006094,0.001561)
(-0.014727,-0.031045),(-0.020072,-0.003057)
(0.005920,-0.031749),(-0.010980,-0.004036)
(-0.050717,-0.054047),(-0.007044,-0.000075)
(0.008166,-0.035781),(-0.015376,0.009451)
(-0.010137,-0.049431),(0.016162,-0.002344)
(0.016190,-0.022036),(-0.008187,0.024855)
(0.028308,-0.020534),(-0.006657,-0.010384)
(0.047766,-0.075697),(0.005155,-0.013001)
(0.038665,-0.002875),(0.008969,-0.013326)
(-0.050488,-0.032275),(0.007028,0.007170)
(0.014982,-0.031535),(0.007249,-0.018531)
(0.013413,-0.015982),(0.033077,-0.009515)
(0.032874,-0.018363),(-0.029087,-0.020260)
(0.014321,-0.041015),(-0.003342,-0.005146)
(0.012989,-0.074332),(0.015449,-0.004616)
(0.057510,-0.093613),(-0.004842,0.005150)
(-0.009058,-0.004220),(-0.000776,-0.002821)
(0.045733,-0.010726),(0.017549,0.000819)
(-0.059176,-0.053440),(-0.001816,0.019714)
(0.025079,-0.001127),(0.024925,0.000054)
(0.020826,-0.051399),(-0.009156,-0.006293)
(-0.052510,0.030073),(0.000699,-0.009907)
(0.013128,-0.006654),(-0.005881,-0.007901)
(0.003383,-0.003969),(-0.004387,-0.016890)
(-0.009430,-0.004307),(0.006971,0.003291)
(-0.001156,-0.024090),(-0.010116,-0.000920)
(-0.034630,-0.021780),(0.002168,0.018708)
(-0.007998,-0.049426),(-0.007110,0.007275)
(-0.034439,-0.007511),(-0.014754,0.004241)
(-0.035258,0.000836),(0.000212,0.020625)
(-0.034468,-0.006715),(-0.009781,0.010271)
(0.017833,0.000156),(-0.003240,-0.000762)
(0.016915,-0.073198),(-0.004374,-0.006733)
(0.004619,-0.044231),(0.000742,-0.007849)
(-0.004215,-0.044185),(0.005390,0.007522)
(-0.004732,-0.016030),(0.005237,0.001995)
(0.033530,-0.026284),(0.000410,-0.022385)
(-0.003476,-0.036122),(-0.001179,0.009350)
(0.017150,-0.029871),(-0.034470,0.004752)
(0.000593,-0.029228),(0.005347,-0.014203)
(0.014554,-0.051432),(-0.003364,-0.005339)
(0.008006,-0.017939),(0.009142,-0.002527)
(0.005896,-0.042798),(-0.019098,0.000447)
(0.003872,-0.029039),(0.011476,-0.017166)
(-0.027884,-0.012147),(0.016779,0.028609)
(0.008642,-0.061671),(-0.004625,0.002318)
(0.032110,0.009646),(-0.007938,0.020678)
(0.038940,-0.021048),(0.018594,0.008055)
(0.001129,-0.004674),(0.011334,0.001648)
(0.006082,-0.027524),(0.018642,0.005047)
(0.003761,-0.021357),(0.030678,0.012115)
(-0.019713,-0.038705),(-0.013720,-0.010544)
(0.015521,0.006827),(-0.024562,-0.007372)
(-0.023574,-0.026752),(0.002066,0.004382)
(0.034282,-0.043655),(-0.002644,-0.002406)
(0.010797,-0.012209),(0.011039,0.016092)
(0.016256,-0.016828),(-0.014794,0.016574)
(0.011846,-0.038525),(0.017795,-0.002776)
(0.010976,-0.013124),(0.021309,0.011468)
(0.010295,-0.009869),(0.008583,0.010224)
(-0.002001,-0.037318),(-0.004936,0.027642)
(0.040595,-0.063316),(0.002645,-0.000872)
(0.014550,-0.018104),(0.003896,0.003015)
(-0.031253,-0.028317),(0.022678,-0.010832)
(-0.040969,-0.075361),(0.003373,0.003272)
(0.033571,0.011759),(0.000076,0.003038)
(-0.030234,0.008595),(0.001976,0.007199)
(0.013929,-0.040162),(-0.006620,0.016183)
(0.026176,-0.026594),(0.010204,-0.011400)
(0.049307,-0.072722),(0.015579,0.008504)
(0.020562,-0.018824),(0.006788,0.002997)
(0.043211,-0.114656),(0.003307,-0.003499)
(0.032236,0.012592),(0.014896,-0.000151)
(-0.013034,-0.011307),(0.007719,-0.009964)
(0.030344,-0.082441),(-0.016527,-0.016601)
(-0.006048,-0.000982),(0.015430,0.015049)
(0.037405,-0.042190),(-0.007263,-0.004333)
(-0.006690,0.058702),(-0.011226,0.014098)
(0.040003,-0.060878),(0.036893,-0.008558)
(-0.002425,-0.027146),(0.004353,-0.001672)
(-0.064577,-0.035203),(0.002399,-0.005333)
(-0.035851,-0.031807),(0.006345,0.023082)
(-0.034456,0.032802),(0.006275,0.008736)
(0.063661,0.015344),(0.010669,-0.018172)
(0.037579,-0.030384),(0.028051,-0.015971)
(0.001689,-0.036548),(-0.008614,-0.002920)
(0.022958,-0.054988),(0.011704,0.021462)
(-0.021946,0.000991),(-0.022771,-0.020707)
(-0.007062,-0.033094),(0.025110,-0.022781)
(-0.028465,0.027593),(0.016133,-0.001883)
(0.021770,-0.035676),(0.006336,-0.002180)
(0.043975,-0.008115),(0.005244,0.024626)
(0.008548,-0.020965),(-0.020230,-0.005095)
(-0.064384,-0.007064),(0.009679,-0.006054)
(0.008358,-0.032171),(0.047688,-0.019979)
(0.024916,0.010532),(0.013880,0.042449)
(0.034977,-0.045670),(-0.020638,-0.010382)
(0.012702,-0.017578),(-0.008378,-0.068494)
(0.000698,-0.044284),(0.044677,0.005812)
(-0.042868,-0.014661),(-0.002648,0.004661)
(0.006188,-0.000487),(0.017939,-0.005419)
(-0.010477,-0.007836),(-0.002224,-0.000389)
(0.034216,-0.027618),(-0.012740,-0.033490)
(-0.007039,-0.003179),(-0.028851,-0.036794)
(-0.002571,0.011310),(0.016540,0.006413)
(0.042785,-0.082369),(-0.011247,0.039156)
(0.012672,0.018845),(-0.024327,0.027526)
(-0.002152,-0.009619),(-0.000891,-0.039625)
(-0.020521,-0.072186),(0.030356,-0.012946)
(-0.019901,-0.009411),(-0.013360,0.009048)
(0.003017,-0.035874),(-0.034096,0.002311)
(0.039723,-0.048060),(-0.002980,-0.009297)
(0.002021,0.082957),(-0.006647,0.022272)
(-0.008678,0.008897),(-0.015983,0.005585)
(-0.064966,-0.033545),(0.022091,0.018054)
(0.005167,-0.018088),(0.002705,0.021466)
(-0.002692,-0.000316),(-0.018331,-0.019725)
(0.037495,-0.031647),(0.017895,-0.023078)
(-0.064973,0.032027),(0.034692,-0.018730)
(-0.083900,-0.023774),(0.005931,0.037334)
(-0.048929,-0.001742),(-0.008629,-0.014208)
(-0.023572,0.012265),(-0.001200,-0.004346)
(-0.040704,0.011082),(-0.012288,0.004915)
(-0.042799,0.039223),(0.015838,0.013854)
(-0.048426,-0.015999),(0.020698,0.005570)
(0.070036,0.065185),(0.004574,0.035094)
(0.001859,-0.011807),(0.006728,0.008370)
(0.033971,0.032358),(0.015415,0.019822)
(-0.033026,-0.016303),(0.038243,-0.022268)
(0.048092,-0.047865),(-0.012031,-0.005358)
(0.057097,-0.012027),(0.018513,-0.016796)
(0.002597,0.005233),(-0.014354,0.001256)
(0.038094,0.021467),(-0.016070,-0.016216)
(-0.044911,0.035145),(0.016273,0.006562)
(0.012245,-0.053991),(0.008153,-0.002817)
(0.024376,0.000990),(0.003026,0.022674)
(-0.017529,-0.062832),(0.023904,-0.014967)
(0.006647,0.087500),(0.005969,-0.012733)
(-0.073090,-0.104598),(-0.009725,0.012009)
(0.021286,-0.002010),(0.003894,-0.005143)
(0.020318,0.056317),(0.002981,-0.018675)
(0.005098,0.021700),(-0.004358,0.022210)
(-0.026233,0.005342),(0.026110,-0.022189)
(0.061327,0.035315),(-0.002468,0.002403)
(-0.016950,-0.045839),(0.033564,-0.010704)
(0.039273,0.014601),(-0.003278,0.017115)
(0.011507,0.022586),(-0.028376,0.016128)
(0.015054,-0.027584),(0.006365,0.010918)
(-0.065982,-0.069240),(0.006082,-0.005467)
(-0.001482,0.039285),(0.035402,-0.005863)
(0.000454,0.026221),(0.011016,0.037156)
(-0.029604,0.030826),(0.026822,-0.014755)
(-0.019559,-0.008605),(0.017505,-0.001998)
(0.006147,-0.018122),(-0.001914,-0.005753)
(0.008795,-0.003473),(0.027393,0.006120)
(-0.002604,0.022095),(0.022143,0.012709)
(0.041769,-0.014085),(-0.001696,0.013221)
(-0.006691,-0.000199),(-0.025623,-0.005285)
(0.047330,-0.041842),(0.009428,-0.025046)
(-0.007341,-0.012308),(0.029544,0.001853)
(-0.018383,-0.006648),(-0.012904,0.051448)
(0.001154,0.032206),(-0.035816,-0.023026)
(0.003671,-0.037252),(0.009754,-0.016436)
(0.009646,-0.032449),(0.039224,-0.009547)
(0.009821,-0.021904),(0.031680,-0.001297)
(0.019528,-0.017779),(-0.011552,0.021529)
(-0.010384,0.005828),(-0.024373,0.019316)
(-0.018770,-0.008173),(0.030747,0.001171)
(0.001610,-0.021809),(0.045905,-0.031789)
(0.010549,-0.009973),(0.038720,0.016833)
(0.032031,0.001863),(0.019303,0.005839)
(0.014273,-0.021066),(-0.044316,0.010702)
(-0.003381,-0.034370),(0.023656,-0.027218)
(0.007671,-0.037696),(0.036755,0.016170)
(-0.001257,0.040976),(0.019655,0.014962)
(0.022656,-0.019799),(-0.019573,-0.003344)
(-0.011031,-0.006199),(0.016416,-0.021670)
(0.019045,-0.019086),(0.000775,0.006961)
(0.007077,-0.009127),(0.002259,0.006946)
(-0.009021,-0.010243),(-0.002605,-0.006462)
(0.030319,-0.022830),(-0.019947,-0.001900)
(-0.004132,-0.018317),(-0.008330,-0.008137)
(0.002545,-0.005822),(0.014408,-0.023674)
(-0.018720,-0.013067),(0.021776,0.016150)
(0.006138,0.000653),(-0.020786,0.022616)
(-0.023369,-0.012418),(-0.013996,-0.003201)
(-0.002143,-0.011860),(0.007389,-0.008762)
(0.003077,-0.005082),(0.029955,0.009799)
(0.010674,0.007024),(0.006424,0.013359)
(0.001551,-0.014588),(0.001002,-0.011418)
(0.025393,-0.000398),(0.000193,0.000724)
(-0.006318,-0.000185),(0.016669,-0.001965)
(0.019248,0.034143),(0.013339,0.002208)
(-0.007417,-0.042788),(0.021097,-0.000966)
(0.033685,0.012920),(-0.004417,-0.001555)
(-0.007107,-0.020675),(-0.012593,-0.001815)
(0.016760,-0.008270),(0.008386,0.019935)
(-0.014802,0.016390),(0.004731,0.007146)
(-0.008126,-0.002529),(0.012247,0.014094)
(0.000258,-0.019497),(0.014890,-0.017779)
(-0.015035,-0.023681),(-0.004386,0.030333)
(0.011798,0.022787),(-0.013902,-0.008680)
(-0.010324,0.011095),(0.000982,0.029667)
(-0.033086,-0.045437),(-0.010861,0.016057)
(0.009893,0.000376),(-0.010432,0.000745)
(0.012011,0.017092),(0.025112,0.006859)
(-0.018560,0.024455),(0.028779,0.045632)
(0.036658,-0.016050),(-0.020427,-0.013217)
(0.017824,-0.002854),(0.026209,-0.017543)
(0.021754,-0.046336),(0.017956,-0.017312)
(0.033776,-0.000157),(0.050916,0.019157)
(-0.027928,-0.002574),(-0.021048,0.003905)
(-0.029937,0.002747),(-0.001432,-0.026090)
(-0.040760,-0.011863),(0.003191,-0.011787)
(-0.002180,-0.007946),(0.009772,-0.000600)
(-0.013290,0.030403),(0.004479,0.006399)
(0.001568,0.001483),(-0.004310,0.004688)
(-0.009901,-0.018905),(-0.002970,-0.012303)
(0.022665,-0.009330),(0.056589,-0.005467)
(0.010566,0.015762),(0.027991,0.008209)
(-0.004293,0.003846),(0.032109,0.010731)
(0.003338,0.022110),(-0.027110,0.006627)
(-0.019518,-0.018530),(0.015214,-0.023703)
(0.000640,-0.019465),(0.018495,0.024217)
(0.006765,-0.010193),(0.005214,0.022263)
(0.015488,-0.001261),(0.010318,-0.006751)
(-0.028346,-0.035560),(-0.006112,-0.001176)
(-0.025513,0.012525),(-0.000134,0.005057)
(-0.016346,-0.043394),(0.017085,-0.008893)
(-0.018651,0.023590),(0.006624,0.020973)
(0.010562,-0.043708),(-0.028958,0.023415)
(0.004796,0.015644),(-0.001494,-0.020216)
(-0.009168,-0.034824),(0.007450,0.020796)
(0.007798,-0.025773),(0.009399,-0.003766)
(0.022148,-0.020109),(0.019603,0.022759)
(0.009561,-0.010387),(-0.015842,0.003029)
(0.020272,-0.001304),(0.000037,0.009599)
(0.000899,-0.022092),(-0.001639,-0.034650)
(-0.013292,-0.003079),(0.019124,0.009605)
(0.003415,-0.021653),(-0.002838,0.017019)
(0.024968,-0.017032),(-0.017655,0.003888)
(0.012532,-0.005758),(0.007359,0.000783)
(0.009699,-0.011744),(0.000787,0.027916)
(-0.009024,0.004362),(0.002420,0.008735)
(0.004929,-0.016010),(0.004992,0.014756)
(0.018439,0.030973),(-0.001689,-0.017534)
(0.008407,0.010373),(-0.014167,-0.011412)
(-0.003902,0.005747),(0.022377,-0.005998)
(0.001819,-0.000303),(0.011031,0.015837)
(-0.008737,-0.003341),(-0.006352,0.008218)
(0.007081,0.004480),(0.002891,0.000268)
(-0.011827,0.021601),(0.020861,-0.002301)
(-0.007313,-0.001345),(0.005103,-0.005965)
(-0.021738,0.020114),(-0.011268,0.007196)
(-0.016688,-0.015496),(0.020095,0.004685)
(0.005645,-0.000698),(-0.022914,0.017104)
(-0.028060,0.012805),(-0.000593,-0.015571)
(-0.012659,0.021735),(0.017488,0.013405)
(0.005156,-0.026424),(-0.005411,0.003037)
(0.023475,-0.002267),(-0.015351,-0.007990)
(0.004052,-0.007973),(0.014252,-0.013746)
(0.010745,-0.004254),(0.021756,0.009876)
(0.000582,-0.013864),(-0.005811,-0.003058)
(-0.011374,-0.032747),(0.015487,-0.007917)
(-0.004644,-0.018027),(0.003940,0.015043)
(0.040341,0.005347),(-0.007329,0.009304)
(-0.008740,0.016718),(-0.009581,-0.023958)
(-0.031959,-0.015996),(0.001364,-0.000867)
(0.018893,-0.022412),(-0.006929,0.008582)
(0.031360,-0.004313),(-0.000526,-0.013040)
(-0.003376,-0.005582),(0.011484,-0.026257)
(0.016410,0.009018),(-0.005145,0.025474)
(-0.012371,0.011140),(-0.016558,-0.001669)
(0.006497,-0.016274),(0.006051,-0.010667)
(0.030286,-0.009530),(-0.008444,0.008989)
(0.016374,-0.001451),(-0.009169,0.008218)
(-0.009465,0.017657),(-0.002222,-0.020512)
(0.001295,-0.036409),(0.016643,-0.009477)
(0.024259,-0.001741),(-0.000712,0.018549)
(-0.011687,-0.002043),(-0.008952,-0.017681)
(-0.015432,-0.015176),(0.009469,0.003059)
(0.010543,0.011657),(0.009656,0.026299)
(0.007687,-0.010234),(-0.004428,-0.009499)
(-0.012461,-0.003661),(0.013281,-0.009837)
(0.003494,-0.024866),(0.007299,0.015623)
(0.007538,0.011545),(-0.005622,-0.025961)
(-0.024747,-0.014243),(0.008148,-0.005553)
(-0.000766,-0.035972),(0.020190,0.002524)
(-0.005986,-0.000651),(-0.010346,0.002435)
(0.024268,0.024818),(0.019211,-0.018461)
(-0.026872,0.015888),(0.024615,-0.008341)
(0.008514,-0.013103),(0.006709,0.000139)
(0.008758,0.014867),(-0.013909,-0.026765)
(-0.029239,0.019086),(0.002662,0.005187)
(0.011609,0.008313),(0.006761,0.016380)
(0.004124,0.029217),(0.003741,-0.000617)
(-0.013013,0.002984),(0.032920,-0.009105)
(-0.006245,-0.017786),(0.011340,-0.008027)
(0.008170,0.003563),(-0.014140,-0.010009)
(0.015282,-0.003674),(0.010871,-0.009293)
(0.008133,0.001972),(0.002502,0.017041)
(-0.000596,-0.002953),(0.019641,0.011620)
(0.006507,-0.016234),(-0.000903,0.006052)
(0.009977,-0.012253),(0.021204,-0.003558)
(0.012810,0.007866),(-0.004931,0.005406)
(-0.008358,0.005088),(0.015533,-0.005721)
(0.038808,-0.019180),(-0.000644,0.022400)
(0.023299,-0.008162),(-0.011473,0.005418)
(0.006600,-0.014631),(0.017372,-0.011141)
(0.021447,0.010398),(0.015108,0.003650)
(0.015108,-0.003650),(0.021447,-0.010398)
(0.017372,0.011141),(0.006600,0.014631)
(-0.011473,-0.005418),(0.023299,0.008162)
(-0.000644,-0.022400),(0.038808,0.019180)
(0.015533,0.005721),(-0.008358,-0.005088)
(-0.004931,-0.005406),(0.012810,-0.007866)
(0.021204,0.003558),(0.009977,0.012253)
(-0.000903,-0.006052),(0.006507,0.016234)
(0.019641,-0.011620),(-0.000596,0.002953)
(0.002502,-0.017041),(0.008133,-0.001972)
(0.010871,0.009293),(0.015282,0.003674)
(-0.014140,0.010009),(0.008170,-0.003563)
(0.011340,0.008027),(-0.006245,0.017786)
(0.032920,0.009105),(-0.013013,-0.002984)
(0.003741,0.000617),(0.004124,-0.029217)
(0.006761,-0.016380),(0.011609,-0.008313)
(0.002662,-0.005187),(-0.029239,-0.019086)
(-0.013909,0.026765),(0.008758,-0.014867)
(0.006709,-0.000139),(0.008514,0.013103)
(0.024615,0.008341),(-0.026872,-0.015888)
(0.019211,0.018461),(0.024268,-0.024818)
(-0.010346,-0.002435),(-0.005986,0.000651)
(0.020190,-0.002524),(-0.000766,0.035972)
(0.008148,0.005553),(-0.024747,0.014243)
(-0.005622,0.025961),(0.007538,-0.011545)
(0.007299,-0.015623),(0.003494,0.024866)
(0.013281,0.009837),(-0.012461,0.003661)
(-0.004428,0.009499),(0.007687,0.010234)
(0.009656,-0.026299),(0.010543,-0.011657)
(0.009469,-0.003059),(-0.015432,0.015176)
(-0.008952,0.017681),(-0.011687,0.002043)
(-0.000712,-0.018549),(0.024259,0.001741)
(0.016643,0.009477),(0.001295,0.036409)
(-0.002222,0.020512),(-0.009465,-0.017657)
(-0.009169,-0.008218),(0.016374,0.001451)
(-0.008444,-0.008989),(0.030286,0.009530)
(0.006051,0.010667),(0.006497,0.016274)
(-0.016558,0.001669),(-0.012371,-0.011140)
(-0.005145,-0.025474),(0.016410,-0.009018)
(0.011484,0.026257),(-0.003376,0.005582)
(-0.000526,0.013040),(0.031360,0.004313)
(-0.006929,-0.008582),(0.018893,0.022412)
(0.001364,0.000867),(-0.031959,0.015996)
(-0.009581,0.023958),(-0.008740,-0.016718)
(-0.007329,-0.009304),(0.040341,-0.005347)
(0.003940,-0.015043),(-0.004644,0.018027)
(0.015487,0.007917),(-0.011374,0.032747)
(-0.005811,0.003058),(0.000582,0.013864)
(0.021756,-0.009876),(0.010745,0.004254)
(0.014252,0.013746),(0.004052,0.007973)
(-0.015351,0.007990),(0.023475,0.002267)
(-0.005411,-0.003037),(0.005156,0.026424)
(0.017488,-0.013405),(-0.012659,-0.021735)
(-0.000593,0.015571),(-0.028060,-0.012805)
(-0.022914,-0.017104),(0.005645,0.000698)
(0.020095,-0.004685),(-0.016688,0.015496)
(-0.011268,-0.007196),(-0.021738,-0.020114)
(0.005103,0.005965),(-0.007313,0.001345)
(0.020861,0.002301),(-0.011827,-0.021601)
(0.002891,-0.000268),(0.007081,-0.004480)
(-0.006352,-0.008218),(-0.008737,0.003341)
(0.011031,-0.015837),(0.001819,0.000303)
(0.022377,0.005998),(-0.003902,-0.005747)
(-0.014167,0.011412),(0.008407,-0.010373)
(-0.001689,0.017534),(0.018439,-0.030973)
(0.004992,-0.014756),(0.004929,0.016010)
