(151.501997,0.000000),(0.000000,0.000000)
(-0.031430,0.016614),(-0.025935,0.021181)
(-0.029630,0.186574),(-0.006086,0.000992)
(0.080099,0.051701),(0.014484,0.002080)
(-0.100234,0.001039),(0.003020,-0.006570)
(-0.060258,0.078633),(0.023265,-0.006615)
(-0.030009,-0.038181),(-0.006045,-0.054838)
(0.048035,0.077485),(0.012017,0.028937)
(0.121370,-0.049208),(-0.027634,-0.056107)
(0.050824,-0.024956),(0.014523,-0.013876)
(0.010105,0.076837),(-0.019188,-0.019790)
(-0.050997,0.056130),(0.001338,0.020751)
(0.041737,0.096080),(0.057162,-0.045837)
(-0.015585,0.000057),(-0.003424,-0.001307)
(0.020682,0.065896),(0.042707,-0.009265)
(-0.023670,0.021308),(0.009170,0.000906)
(0.010540,-0.005848),(-0.010606,0.013086)
(0.003255,0.047295),(0.019507,0.006336)
(0.036644,0.001732),(0.048149,0.041365)
(0.000307,0.121261),(0.062810,0.014292)
(-0.007019,0.043931),(0.027529,0.021822)
(-0.004111,0.056773),(-0.030284,0.005268)
(-0.037668,0.009147),(-0.050444,0.021534)
(-0.097977,-0.009085),(0.041325,-0.025483)
(-0.118412,-0.002175),(0.003977,-0.008188)
(0.026344,-0.003112),(-0.017101,0.008682)
(-0.045679,-0.069670),(0.012927,-0.022226)
(0.002918,-0.005415),(-0.020760,0.010189)
(-0.084139,-0.083146),(-0.023333,0.004017)
(-0.066018,0.041354),(-0.018184,-0.011740)
(-0.039631,0.028768),(-0.013498,-0.006375)
(0.060634,-0.042025),(0.029704,0.045418)
(-0.045567,-0.013379),(0.000502,-0.018772)
(0.022965,0.006600),(-0.039384,0.023244)
(-0.022190,-0.123318),(-0.000582,0.012550)
(-0.033156,0.009746),(-0.067135,-0.007552)
(0.071870,-0.076712),(0.013436,0.015535)
(-0.018816,0.074300),(-0.037054,-0.060241)
(0.103328,0.084470),(-0.014047,0.039216)
(-0.029287,0.049452),(-0.011018,-0.006539)
(-0.093824,0.057523),(-0.007394,-0.001914)
(0.037324,-0.080882),(-0.034304,-0.012877)
(0.005187,-0.050885),(0.021496,-0.037671)
(-0.002115,-0.023397),(-0.029996,-0.010831)
(-0.106024,-0.038512),(0.045781,-0.042377)
(-0.031137,0.034132),(0.025214,-0.020147)
(-0.068509,-0.084639),(-0.013113,0.013497)
(-0.049755,0.045253),(0.000137,0.002971)
(-0.073077,-0.025501),(-0.037754,-0.041337)
(-0.069559,-0.027068),(-0.030713,-0.047972)
(0.072350,0.012510),(0.008473,-0.001312)
(-0.030338,0.057892),(0.022390,-0.081137)
(0.068084,-0.028406),(-0.038938,0.011064)
(-0.053253,-0.002519),(-0.021273,-0.053756)
(0.126696,-0.043258),(-0.021377,-0.082367)
(-0.023628,0.006184),(0.027480,0.026109)
(0.032136,-0.003157),(-0.053939,-0.062642)
(0.020328,-0.014313),(-0.024041,0.025696)
(0.071047,0.043590),(0.069247,-0.023458)
(0.002922,-0.024140),(-0.029292,-0.023758)
(0.016604,0.059872),(0.036524,-0.010104)
(0.005772,-0.012665),(0.030071,-0.073835)
(0.082983,-0.040666),(-0.026914,0.004833)
(0.023014,-0.072173),(0.031285,-0.072783)
(0.026697,0.018077),(0.007422,-0.000119)
(0.067269,0.055524),(-0.012817,0.007166)
(-0.006608,0.024251),(0.025616,0.018984)
(-0.042447,0.037464),(-0.030435,0.016113)
(-0.013240,-0.064499),(-0.047471,-0.046430)
(-0.057715,0.029450),(-0.037277,-0.024709)
(-0.020743,-0.025453),(0.040775,-0.027293)
(-0.058111,0.005464),(-0.014198,-0.073905)
(-0.028479,-0.000736),(-0.046463,0.119921)
(-0.039609,0.010743),(0.007191,0.025850)
(-0.049580,0.044812),(-0.074545,-0.013650)
(-0.009773,-0.001955),(0.027951,0.013393)
(0.034576,-0.010590),(-0.049463,-0.012787)
(-0.044666,0.010453),(-0.048836,0.058829)
(0.015782,-0.029258),(-0.104923,0.043257)
(0.037089,0.001749),(-0.027891,-0.024413)
(-0.016727,0.012021),(0.048862,-0.038857)
(0.030883,-0.003050),(-0.057681,0.061504)
(0.040268,0.015452),(0.012788,0.028733)
(0.020383,0.001964),(-0.001675,-0.030146)
(-0.047575,-0.007733),(-0.039193,0.093231)
(0.025327,-0.032860),(-0.024672,0.047088)
(-0.014097,-0.004177),(-0.106896,0.027954)
(-0.046855,-0.033115),(0.000916,0.032361)
(0.056699,0.008722),(0.054500,-0.041143)
(0.001648,-0.004056),(-0.107172,0.095691)
(0.028474,0.012456),(0.003610,-0.092087)
(0.018770,-0.004743),(-0.018579,-0.045629)
(0.008645,0.034817),(0.022664,0.013345)
(-0.058602,-0.023685),(0.039596,0.017448)
(0.027648,0.016815),(-0.073763,0.028865)
(0.017048,-0.034071),(0.023020,-0.016475)
(0.027186,-0.045172),(0.031224,0.045033)
(0.007005,0.025173),(-0.020242,-0.075299)
(-0.013780,0.003215),(0.053542,0.028775)
(0.054918,-0.006044),(0.107976,0.070027)
(-0.030904,0.021034),(-0.057522,0.027885)
(-0.027270,-0.012966),(0.075262,0.011617)
(0.034445,-0.012662),(0.009727,-0.023041)
(-0.011389,-0.000264),(-0.003793,0.014123)
(-0.033738,-0.039065),(-0.009193,0.047096)
(-0.025233,-0.002399),(-0.054062,0.006144)
(0.031893,-0.010768),(-0.009083,0.094858)
(-0.002959,-0.024334),(-0.092118,-0.042913)
(-0.000845,-0.005031),(-0.023229,0.055882)
(-0.010896,-0.013763),(0.065413,-0.023167)
(-0.029885,0.003201),(-0.078657,0.027558)
(-0.014721,-0.004719),(-0.059584,-0.121391)
(-0.035329,-0.001974),(-0.075826,0.037690)
(-0.065566,0.012927),(-0.008891,0.042389)
(-0.006499,0.017142),(0.114607,-0.049959)
(-0.025733,-0.008664),(0.050275,-0.017341)
(0.001396,0.001484),(-0.108323,0.005309)
(0.016078,-0.034914),(0.069560,0.037697)
(-0.028801,-0.040279),(-0.108672,-0.013639)
(-0.019478,0.026269),(0.015806,0.057319)
(-0.019727,-0.006065),(-0.015510,0.005612)
(0.019827,0.013099),(0.037761,0.006119)
(0.006137,-0.022189),(0.039634,0.045616)
(0.022897,-0.001405),(-0.061892,0.043499)
(0.038244,-0.034394),(-0.063471,-0.055437)
(-0.016531,-0.004420),(0.064995,0.069364)
(-0.019053,-0.018489),(-0.047893,-0.040127)
(0.004801,0.033504),(-0.020796,-0.025441)
(-0.028111,0.007878),(0.032211,-0.004277)
(0.012266,0.048156),(-0.034082,-0.036275)
(0.018470,-0.019956),(0.012344,-0.041879)
(0.004714,0.014223),(-0.050695,-0.028567)
(0.043239,-0.004859),(0.136281,-0.063818)
(-0.050014,-0.026162),(0.092071,-0.117044)
(0.028538,0.003865),(-0.068451,-0.025431)
(-0.061152,0.040475),(0.017478,0.072963)
(0.024594,0.011703),(0.027621,-0.076844)
(-0.009233,-0.051339),(0.089738,0.005698)
(-0.015254,0.009135),(0.038234,-0.106949)
(-0.008090,-0.045803),(-0.178488,0.083986)
(0.092228,-0.018242),(0.103976,-0.012298)
