tiempo, ax, ay, az
7.5,181.019,201.136,204.964
7.51,181.123,191.667,195.682
7.52,183.11,200.221,204.881
7.53,181.893,192.383,199.596
7.54,183.251,196.252,202.104
7.55,182.416,198.233,203.278
7.56,181.069,199.01,202.833
7.57,180.38,196.389,200.882
7.58,180.481,193.941,198.399
7.59,182.536,199.583,203.472
7.6,183.846,196.44,200.417
7.61,182.483,195.353,199.276
7.62,181.608,198.773,202.024
7.63,179.678,194.705,197.25
7.64,180.273,201.64,203.574
7.65,179.709,194.075,198.011
7.66,180.575,196.345,202.064
7.67,181.844,195.487,202.633
7.68,181.153,192.877,199.309
7.69,181.744,200.523,205.005
7.7,181.607,197.332,200.513
7.71,181.683,200.971,201.569
7.72,180.776,199.194,198.973
7.73,180.154,200.241,201.02
7.74,180.708,200.348,202.59
7.75,181.737,196.297,202.011
7.76,182.571,194.283,200.813
7.77,180.938,194.215,198.939
7.78,179.965,202.709,204.903
7.79,179.421,198.341,198.842
7.8,180.906,200.237,202.657
7.81,180.706,198.042,202.789
7.82,180.576,195.415,201.065
7.83,181.008,197.038,201.074
7.84,181.069,197.518,201.369
7.85,181.649,197.144,200.478
7.86,179.801,195.614,199.474
7.87,178.341,200.6,204.247
7.88,179.757,193.835,198.95
7.89,181.088,192.512,198.987
7.9,181.958,198.009,204.965
7.91,178.401,188.16,194.806
7.92,181.563,202.175,205.503
7.93,181.134,195.271,199.106
7.94,181.629,196.801,200.159
7.95,182.149,199.085,201.937
7.96,183.226,195.27,200.435
7.97,183.935,193.61,198.91
7.98,182.104,193.535,199.348
7.99,181.794,198.041,202.533
8,181.007,192.221,196.358
8.01,183.662,200.543,203.307
8.02,181.914,193.971,198.444
8.03,184.08,198.187,202.731
8.04,183.384,194.614,200.392
8.05,182.675,195.673,199.593
8.06,181.168,194.402,199.545
8.07,181.798,194.657,199.355
8.08,181.304,192.578,198.98
8.09,182.521,196.093,201.287
8.1,183.213,196.801,201.55
8.11,183.848,195.449,201.986
8.12,181.838,191.188,197.144
8.13,181.052,196.104,201.208
8.14,180.324,194.029,198.524
8.15,179.721,201.564,205.367
8.16,179.699,194.324,199.606
8.17,181.838,192.661,198.573
8.18,183.132,198.873,204.646
8.19,180.462,191.749,197.609
8.2,179.06,197.298,202.943
8.21,179.058,194.897,199.391
8.22,179.69,196.861,201.841
8.23,179.713,196.547,200.221
8.24,180.951,201.787,203.118
8.25,180.386,198.466,201.541
8.26,181.041,196.291,198.882
8.27,180.207,200.249,202.254
8.28,178.177,195.986,199.864
8.29,179.696,199.456,202.048
8.3,180.367,195.342,199.417
8.31,183.09,195.692,197.851
8.32,182.455,195.905,198.522
8.33,181.662,201.269,203.244
8.34,180.381,196.907,198.892
