(179.332889,0.000000),(-0.003995,0.000000)
(-0.022989,-0.311148),(0.005675,0.012832)
(0.296543,0.153158),(0.006214,0.008489)
(-0.213150,0.024824),(0.002619,-0.013860)
(0.026799,0.002538),(-0.008831,-0.000501)
(-0.027898,0.058846),(0.017732,0.008098)
(0.030428,0.050685),(-0.018758,0.006016)
(0.050059,0.031293),(-0.001337,0.034759)
(0.074536,-0.070463),(0.011343,0.000783)
(-0.052358,-0.025424),(0.022324,-0.001791)
(0.003795,-0.006308),(-0.003447,0.008708)
(-0.011703,-0.010646),(-0.012771,-0.011876)
(0.023488,-0.013482),(0.011779,0.013821)
(-0.000798,-0.019885),(0.014109,0.003664)
(0.065263,0.053735),(-0.004324,0.013664)
(0.020142,-0.030408),(0.029641,-0.013668)
(0.030865,-0.000168),(0.005148,-0.023964)
(-0.028503,-0.055347),(-0.015352,-0.012410)
(0.014278,0.055004),(-0.006299,-0.012473)
(0.001145,0.040002),(0.001578,-0.002715)
(0.009028,0.008955),(0.016851,-0.018402)
(-0.067918,-0.035539),(0.008691,0.003110)
(-0.035223,0.021893),(-0.032246,0.017570)
(0.082764,-0.029288),(-0.001992,-0.022976)
(0.058145,-0.080398),(-0.012055,-0.012680)
(-0.192168,0.074309),(0.026138,0.006837)
(-0.108775,-0.019377),(-0.020990,-0.000498)
(0.101056,0.029618),(-0.009446,-0.003792)
(-0.072132,-0.060887),(-0.021281,-0.019262)
(-0.023480,-0.007106),(-0.001707,0.002588)
(0.031243,0.073589),(0.016640,0.006211)
(-0.028726,0.013060),(-0.004055,0.004570)
(-0.054859,-0.009125),(-0.006730,0.019394)
(-0.027213,0.040315),(0.013911,-0.015921)
(0.003232,-0.049265),(-0.009084,-0.026219)
(-0.013829,-0.057002),(0.001390,0.002063)
(0.037960,0.029541),(0.000641,0.007808)
(0.071817,-0.038550),(-0.004099,-0.006909)
(-0.034682,0.011896),(-0.007277,-0.004730)
(0.001054,-0.052912),(0.027570,-0.002712)
(0.021995,0.003432),(0.015242,-0.000912)
(-0.031801,-0.003596),(0.012456,0.020419)
(-0.001321,0.019829),(0.002250,0.012469)
(0.008987,0.036842),(0.009720,-0.010808)
(-0.034145,-0.098111),(-0.012391,0.009233)
(-0.003513,0.034040),(-0.021705,-0.013994)
(-0.030215,-0.048946),(-0.015788,-0.000124)
(-0.023209,-0.010763),(0.004422,-0.007071)
(-0.024620,0.066460),(0.005658,0.021414)
