(195.741012,0.000000),(0.088549,0.000000)
(0.076329,0.147907),(0.023841,-0.044015)
(-0.343190,0.388074),(-0.025193,-0.049388)
(-0.164510,0.285374),(-0.033463,-0.002034)
(-0.016439,0.192157),(0.075174,0.003838)
(0.016480,0.190228),(0.002994,-0.002991)
(0.093111,0.029708),(0.029510,-0.005043)
(0.081446,0.103969),(0.050981,0.068194)
(-0.051725,0.023506),(0.007430,-0.012654)
(0.062416,-0.109314),(0.066324,-0.081935)
(-0.060127,-0.033001),(-0.093482,0.005474)
(-0.013340,0.064155),(0.002387,0.102990)
(0.009826,-0.038494),(0.093187,0.027772)
(0.062152,0.000131),(-0.010381,-0.022028)
(0.064652,0.073411),(0.058874,0.066865)
(-0.048558,-0.062526),(-0.010908,-0.002633)
(-0.037276,-0.030561),(0.029799,-0.148955)
(-0.125865,0.063664),(-0.048330,0.036059)
(-0.122303,0.043442),(-0.007162,0.015544)
(-0.034071,-0.057057),(0.020986,-0.003216)
(-0.050120,0.192024),(-0.006004,0.047099)
(-0.024973,-0.042448),(-0.060420,0.018861)
(-0.010989,0.021415),(0.031039,0.006685)
(-0.005521,0.021604),(0.053681,-0.030750)
(-0.106465,-0.049363),(-0.033325,0.020920)
(0.099057,0.030053),(-0.046456,0.016951)
(-0.071515,0.034058),(0.005483,0.010568)
(-0.087783,-0.049173),(0.008127,-0.000354)
(0.054093,0.071720),(-0.064199,0.002885)
(0.007462,0.030410),(-0.028615,-0.070899)
(-0.069633,0.049166),(-0.027027,0.064537)
(0.074674,0.052022),(0.009048,0.048978)
(0.021025,-0.025021),(-0.002241,0.052614)
(-0.045485,0.007294),(-0.042662,-0.028073)
(0.069601,-0.019514),(-0.015891,-0.010380)
(-0.035625,-0.021290),(-0.008984,0.012111)
(0.007646,0.031881),(0.018398,0.026795)
(-0.032215,0.087099),(0.011789,-0.015127)
(0.043641,0.002990),(0.022673,0.025991)
(-0.058913,0.013581),(0.035638,0.011973)
(0.025084,0.018193),(0.036663,0.007014)
(-0.018530,0.051844),(-0.041237,0.024103)
(0.012116,0.028746),(0.099158,0.027104)
(0.062156,-0.051018),(0.014029,-0.006972)
(0.032139,0.116314),(0.070861,-0.055912)
(0.014027,-0.017908),(0.006962,-0.069117)
(0.001000,0.070024),(-0.142401,0.018792)
(0.033319,-0.051335),(-0.051855,0.038685)
(-0.047550,0.051072),(-0.076778,-0.005317)
(-0.083713,0.091999),(-0.050653,0.042821)
(0.053689,0.032751),(0.097975,0.145766)
(0.036629,0.068857),(-0.006371,0.006665)
(0.068369,-0.015273),(-0.084938,-0.062005)
(-0.056806,-0.060643),(0.057387,-0.069051)
(-0.009961,-0.020503),(-0.003882,-0.030635)
(0.006471,-0.016682),(-0.091679,-0.041876)
(0.027260,0.078659),(0.046359,-0.064395)
(-0.025380,-0.079567),(0.014835,-0.033323)
(0.017322,-0.057489),(-0.052432,0.066300)
(-0.001577,0.037775),(-0.029101,-0.040849)
(0.024854,0.041547),(0.020878,0.005130)
(-0.050047,-0.067630),(0.100340,-0.031529)
(0.062158,0.106246),(0.015942,0.077397)
(0.019117,-0.028965),(-0.002168,-0.041586)
(0.014724,0.053303),(-0.084874,-0.235473)
(-0.050010,0.045261),(-0.067866,0.059820)
(0.011689,-0.084215),(0.071886,0.049562)
(0.025752,0.057462),(0.047575,0.062957)
(0.011489,-0.004725),(0.023589,0.036418)
(-0.043329,-0.014055),(-0.012833,0.020941)
(-0.052424,0.022614),(-0.107331,0.001473)
(-0.044974,-0.026387),(-0.072613,-0.021631)
(0.093274,-0.026154),(0.035176,-0.018826)
(-0.025358,0.003632),(-0.035860,0.002587)
(-0.000231,0.094150),(-0.022860,0.039564)
(0.044560,0.019420),(0.073700,-0.005772)
(-0.016650,-0.065694),(0.073072,-0.047275)
(-0.024550,0.003477),(-0.008600,0.032865)
(0.012005,-0.034813),(-0.020966,0.043181)
(-0.036208,0.017272),(0.019213,0.055483)
(0.060093,-0.057667),(0.062822,0.000800)
(-0.010137,0.124541),(-0.075334,0.062890)
(0.030545,0.001608),(-0.017920,0.031322)
(-0.037373,0.050822),(0.034646,0.078438)
(-0.004391,-0.024298),(0.186103,0.016849)
(0.067888,0.042074),(0.025382,-0.028732)
(-0.013789,0.020704),(0.024140,0.009786)
