(198.998003,0.000000),(-0.007324,0.000000)
(0.059204,-0.398797),(0.005091,-0.012846)
(0.143778,-0.263004),(-0.037356,0.003858)
(-0.131892,-0.090327),(-0.000534,-0.023532)
(-0.017541,-0.076981),(0.049431,-0.034910)
(-0.043713,0.036414),(-0.023343,-0.015526)
(-0.001752,-0.014773),(-0.022020,-0.007276)
(-0.031409,-0.020217),(-0.078003,0.011573)
(-0.008128,-0.001938),(-0.000704,0.038806)
(0.072731,-0.013477),(0.001279,0.038882)
(0.030213,-0.041110),(0.009996,-0.033524)
(-0.019507,-0.041436),(0.015993,-0.020327)
(-0.043495,-0.019739),(0.028667,-0.037869)
(0.002330,-0.024541),(-0.035599,-0.015216)
(-0.007889,-0.058418),(-0.008167,-0.081815)
(0.004699,0.012575),(-0.070486,0.040602)
(0.010503,-0.000088),(0.002174,0.008803)
(0.051665,0.029836),(0.066227,0.067250)
(0.007960,-0.009915),(-0.043322,0.008518)
(-0.083100,0.013691),(0.036901,-0.029539)
(-0.028416,0.060875),(-0.070916,-0.000015)
(-0.050516,-0.007822),(-0.008780,-0.020617)
(-0.005703,0.020890),(0.066039,0.027003)
(0.029799,0.026785),(-0.044219,-0.036748)
(0.066104,-0.095178),(-0.019225,-0.028026)
(-0.235113,0.020612),(0.033005,0.045436)
(-0.089655,-0.068941),(-0.001469,0.021784)
(0.072656,0.078324),(0.017854,-0.000815)
(-0.009729,-0.066350),(-0.099607,0.006170)
(0.021593,-0.035473),(0.016648,0.011115)
(-0.043532,0.035683),(0.045776,0.006273)
(0.010871,-0.042614),(0.004844,0.002043)
(0.020117,-0.003698),(-0.023985,0.048416)
(-0.003945,0.018872),(0.014396,-0.043860)
(0.027210,0.012245),(0.019673,-0.027091)
(-0.006511,0.017629),(0.096309,0.030194)
(-0.008779,-0.017301),(-0.011946,0.043367)
(-0.023848,-0.028027),(0.015620,-0.017546)
(0.020138,-0.011386),(0.018941,0.047129)
(-0.015459,-0.004728),(-0.033841,0.029152)
(-0.018272,-0.002929),(-0.009280,-0.041788)
(0.003901,-0.000123),(-0.038479,-0.028007)
(-0.013809,0.006618),(-0.022550,-0.064510)
(0.007913,-0.025549),(-0.020994,0.004142)
(-0.022330,-0.047985),(-0.013980,0.027566)
(-0.013807,-0.017932),(0.039070,0.051320)
(0.009731,-0.018439),(-0.012128,-0.048233)
(0.006773,-0.011900),(-0.047923,0.037912)
(-0.036132,-0.020744),(0.008994,-0.031941)
(-0.040973,0.029756),(-0.025760,-0.080404)
(-0.040978,0.006392),(-0.075116,-0.003404)
(0.034901,0.006124),(0.037709,0.064394)
(-0.006412,0.003880),(0.043174,-0.083690)
(-0.009576,-0.021499),(-0.096636,0.011208)
(-0.016207,-0.025069),(-0.049539,-0.014307)
(-0.032450,0.008590),(-0.016508,0.028194)
(-0.036802,0.025902),(0.079715,-0.069275)
(-0.032085,0.026839),(-0.035472,0.014063)
(0.017430,0.046205),(-0.053177,0.012264)
(-0.020489,0.033916),(-0.010753,0.020889)
(0.030472,-0.002462),(0.025755,-0.076157)
(0.013952,0.030646),(-0.007435,0.042190)
(0.060375,-0.017993),(0.053058,0.040215)
