tiempo, ax, ay, az
2,131.405,124,149.166
2.01,131.672,123.328,152.672
2.02,135.654,121.346,151.73
2.03,137.654,123.654,147.617
2.04,137.346,123,150.384
2.05,135.345,122.345,147.927
2.06,134,122,149.018
2.07,134,122,150.931
2.08,134.731,121.731,150
2.09,136,120.731,147.808
2.1,135,121,149.462
2.11,135.731,123.731,150.807
2.12,136,124,150.968
2.13,133.976,123.488,148.952
2.14,132.185,123,151.369
2.15,133.47,124,155.146
2.16,135,122,150.609
2.17,136,121.269,153.383
2.18,136,121.992,153.017
2.19,135,123,153.582
2.2,134,123,152.241
2.21,133.504,122,154.016
2.22,134.495,121.505,152.979
2.23,136,121,154.021
2.24,136,121.338,149.338
2.25,135,121.334,152.997
2.26,135,122.662,151.352
2.27,135,124,152.986
2.28,134.333,123,149.666
2.29,134,122.338,152.324
2.3,134.665,122,153
2.31,135,121.662,150.338
2.32,136.662,121,154.985
2.33,137,122,147.675
2.34,135.338,121.338,151.986
2.35,134.338,122,151.689
2.36,133,122,151.883
2.37,133.795,121.795,154
2.38,135.731,121.269,151
2.39,137,121.701,148.896
2.4,136.246,123.754,149
2.41,135,124,150.26
2.42,133.247,122.247,150.494
2.43,132,122.246,151.771
2.44,132.754,122.754,150.739
2.45,135.754,120.246,153.246
2.46,137,119,150.26
2.47,135.247,118,149.753
2.48,135.754,120,154.507
2.49,136,120.506,149.987
2.5,135,121.246,151.507
2.51,134.247,122,150.247
2.52,132.247,121.753,150.753
2.53,132,122.246,156.018
2.54,133.753,122,149.236
2.55,136.753,122,151
2.56,137,121.753,149.247
2.57,134.495,122,148.99
2.58,133,123.764,153.35
2.59,131.247,124,151.483
2.6,132.753,122,153
2.61,134.506,123,150.753
2.62,136,121.57,151.71
2.63,136,120,148.34
2.64,134.332,119.668,150.332
2.65,133.427,121,151.573
2.66,132,120.498,150.502
2.67,133.502,120,151.988
2.68,134.604,121,150.813
2.69,134.331,122,151.669
2.7,134,121.669,151
2.71,135,122.669,152.994
2.72,135.669,123,149.669
2.73,135,123,150.682
2.74,134.332,123,149.659
2.75,133,123,150.668
2.76,133.669,123.669,154.006
2.77,134.669,125,151.331
2.78,135.669,124.331,151.338
2.79,135.332,124,150.995
2.8,134,123,152.006
2.81,134,123,154.005
2.82,134,123,150.326
2.83,133.331,123.669,151.344
2.84,133,124.668,156
2.85,134.668,124,153.332
2.86,136,124,152.668
2.87,135.331,124,149.994
2.88,133.331,123,152.669
2.89,132,123,155.006
2.9,132.669,123,153.669
2.91,134.668,123,152.332
2.92,136,123.331,150.326
2.93,134.662,124,151.338
2.94,133,123.445,151.891
2.95,133,125,153.603
2.96,133,125.332,151
2.97,133,125,149.663
2.98,133.669,125.331,152.669
2.99,135,125.677,147.97
3,134.335,124.335,150.996
3.01,133,124,151.006
3.02,133,124.339,151.696
3.03,133.661,124.339,149.661
3.04,134,124.661,150
3.05,133,123,150
3.06,132,124,151.706
3.07,132.491,123.509,154.035
3.08,133.486,123.027,151.486
3.09,134,123,148.641
3.1,132.27,123.73,151.73
3.11,131.009,123.009,151.009
3.12,130.73,123,152.459
3.13,132,124,150.074
