(130.128495,0.000000),(0.012650,0.000000)
(0.336261,0.948651),(0.005523,-0.000826)
(-0.042367,-0.187362),(-0.003328,-0.003247)
(-0.143423,-0.163370),(0.002699,0.006787)
(0.043014,0.103458),(0.008019,0.005557)
(-0.085701,-0.126855),(-0.008738,0.005151)
(0.036626,0.026123),(0.005810,-0.000319)
(0.009709,0.032185),(-0.004667,0.012780)
(-0.074746,0.057526),(0.003119,-0.002675)
(0.013240,-0.023248),(0.006132,-0.004929)
(-0.045327,0.029953),(0.000060,-0.005797)
(-0.021623,-0.014709),(0.000790,0.007701)
(0.041100,-0.032664),(0.002789,-0.005586)
(-0.030736,0.056778),(0.002261,0.005693)
(-0.021367,-0.044302),(-0.004193,-0.000700)
(0.013668,0.030343),(-0.003755,0.002087)
(-0.034857,0.012389),(0.006717,0.001942)
(-0.016615,-0.035284),(0.000816,-0.001951)
(-0.005996,0.011709),(-0.001017,0.001328)
(-0.031608,-0.013882),(-0.003470,-0.003501)
(-0.030445,0.029114),(0.001648,0.008010)
(0.036447,-0.043487),(0.003361,-0.004235)
(-0.067891,0.046053),(-0.001565,0.004715)
(-0.028654,0.035004),(-0.010188,0.007572)
(-0.051186,-0.121977),(-0.004175,0.001357)
(-0.035795,0.095443),(0.000253,-0.003573)
(0.042344,-0.100538),(-0.002898,0.005400)
(-0.003769,0.042788),(-0.004659,-0.003413)
(0.017497,-0.050728),(0.002426,-0.000079)
(-0.032040,0.038200),(0.001684,0.015515)
(0.052318,-0.036625),(-0.013778,0.012637)
(-0.003080,0.011237),(-0.001702,0.001114)
(0.048346,0.007923),(0.006085,0.008217)
(0.018296,0.073665),(0.004100,-0.000433)
(-0.026078,0.082109),(0.009352,-0.004159)
(-0.008145,0.039884),(-0.000380,0.004138)
(0.007644,0.035363),(0.009678,0.000519)
(0.048148,0.062321),(-0.002992,-0.005587)
(0.047677,0.031621),(-0.015873,-0.002702)
(-0.022847,0.093885),(-0.002908,0.003618)
(-0.025261,0.102131),(0.002954,-0.016993)
(0.001022,-0.045278),(0.000131,0.007274)
(0.036888,-0.037240),(-0.008942,0.002927)
(-0.054365,0.027429),(0.004363,-0.012176)
(0.034473,-0.033456),(0.005650,0.010280)
(0.005486,0.017482),(0.000388,-0.001862)
(-0.033942,0.008557),(0.006331,0.008254)
(-0.024836,-0.036783),(0.000897,-0.002825)
(0.003145,0.004094),(-0.000722,0.000096)
(-0.003676,0.000309),(-0.002083,0.006433)
(0.013590,0.018353),(-0.008299,0.012755)
(0.025982,0.006488),(-0.008417,-0.000260)
(0.027243,-0.017816),(-0.005593,0.003777)
(0.033799,0.015048),(0.002560,-0.009441)
(-0.003221,0.053857),(-0.001654,0.001470)
(-0.002154,0.027604),(-0.001236,0.003519)
(0.042990,0.017595),(0.001749,-0.005446)
(-0.011167,0.058306),(-0.000356,-0.003083)
(0.001782,0.018136),(-0.003428,-0.000167)
(-0.014689,0.003478),(-0.014257,-0.005534)
