5/7,12/43
4/8,12/37
3/9,13/34
2/10,14/28
1/11,15/26
0/12,16/22
13/0,-1/ -1
12/1,20/30
11/2,18/35
10/3,17/36
9/4,16/37
8/5,15/44
7/6,15/45
6/7,15/46
5/8,15/47
4/9,15/39
3/10,16/36
2/11,17/30
1/12,18/27
0/13,-1/ -1
14/0,-1/ -1
13/1,-1/ -1
12/2,24/38
11/3,22/39
10/4,20/40
9/5,19/45
8/6,18/49
7/7,18/49
6/8,18/50
5/9,18/48
4/10,18/41
3/11,19/34
2/12,20/32
1/13,-1/ -1
0/14,-1/ -1
15/0,-1/ -1
14/1,-1/ -1
13/2,-1/ -1
12/3,28/42
11/4,26/43
10/5,24/47
9/6,22/51
8/7,21/59
7/8,21/53
6/9,21/52
5/10,21/44
4/11,21/39
3/12,22/36
2/13,-1/ -1
1/14,-1/ -1
0/15,-1/ -1
16/0,-1/ -1
15/1,-1/ -1
14/2,-1/ -1
13/3,-1/ -1
12/4,36/46
11/5,33/46
10/6,30/51
9/7,28/55
8/8,26/63
7/9,26/56
6/10,26/47
5/11,26/42
4/12,26/39
3/13,-1/ -1
2/14,-1/ -1
1/15,-1/ -1
0/16,-1/ -1
