40,9 141 150
39,10 135 150
38,11 129 150
37,12 123 150
36,13 117 150
35,14 114 150
34,15 111 120
33,16 108 150
32,17 105 125
31,18 102 122
30,19 100 123
29,20 99 116
28,21 96 110
27,22 90 111
26,23 90 109
25,24 87 106
24,25 87 104
23,26 85 102
22,27 87 100
21,28 87 101
20,29 85 98
19,30 85 101
18,31 85 96
17,32 87 103
16,33 87 101
15,34 85 92
14,35 85 150
13,36 87 150
12,37 87 150
11,38 87 150
10,39 87 150
9,40 87 150
40,8 132 150
39,9 126 150
38,10 121 150
37,11 115 150
36,12 109 150
35,13 106 150
34,14 103 129
33,15 102 114
32,16 100 116
31,17 94 114
30,18 91 104
29,19 89 114
28,20 89 110
27,21 89 102
26,22 84 99
25,23 82 99
24,24 80 100
23,25 82 97
22,26 80 96
21,27 80 90
20,28 80 94
19,29 80 96
18,30 82 97
17,31 80 96
16,32 80 97
15,33 82 93
14,34 80 109
13,35 81 150
12,36 83 150
11,37 83 150
10,38 83 150
9,39 83 150
8,40 84 150
40,7 123 150
39,8 118 150
38,9 112 150
37,10 106 150
36,11 101 150
35,12 98 150
34,13 95 107
33,14 92 102
32,15 89 124
31,16 88 114
30,17 85 107
29,18 82 102
28,19 81 103
27,20 79 99
26,21 78 97
25,22 76 94
24,23 77 94
23,24 77 92
22,25 77 89
21,26 77 86
20,27 75 91
19,28 75 89
18,29 77 89
17,30 77 91
16,31 75 92
15,32 75 101
14,33 75 87
13,34 78 90
12,35 78 86
11,36 77 150
10,37 78 150
9,38 79 150
8,39 79 150
7,40 81 150
40,6 114 150
39,7 108 150
38,8 102 150
37,9 98 150
36,10 94 150
35,11 91 150
34,12 88 150
33,13 85 150
32,14 83 109
31,15 80 99
30,16 78 107
29,17 77 99
28,18 75 97
27,19 74 89
26,20 73 89
25,21 72 89
24,22 72 86
23,23 70 89
22,24 70 83
21,25 70 85
20,26 74 81
19,27 70 84
18,28 70 84
17,29 70 79
16,30 74 95
15,31 70 77
14,32 72 84
13,33 70 87
12,34 70 96
11,35 72 150
10,36 72 150
9,37 74 150
8,38 75 150
7,39 76 150
6,40 78 150
40,5 105 150
39,6 99 150
38,7 94 150
37,8 90 150
36,9 86 150
35,10 83 150
34,11 80 150
33,12 78 107
32,13 76 97
31,14 74 99
30,15 72 99
29,16 73 91
28,17 71 89
27,18 70 91
26,19 67 90
25,20 67 87
